"Year","Month","Dekad","NDVI","Average"
2019,1,1,N/A,0.1306821
2019,1,2,0.1693491,0.130453
2019,1,3,0.1671911,0.1298402
2019,2,1,0.1651866,0.1294744
2019,2,2,0.1627636,0.1290805
2019,2,3,0.1601123,0.1286752
2019,3,1,0.15469,0.12785
2019,3,2,0.1521456,0.127456
2019,3,3,0.1498829,0.1270719
2019,4,1,0.147936,0.1266966
2019,4,2,0.144952,0.1259254
2019,4,3,0.1437687,0.1255279
2019,5,1,0.1426963,0.1251215
2019,5,2,0.1417306,0.124703
2019,5,3,0.1399614,0.1238429
2019,6,1,0.1389978,0.1234117
2019,6,2,0.1380203,0.1230123
2019,6,3,0.137048,0.1226622
2019,7,1,0.1352327,0.1222064
2019,7,2,0.1346662,0.1222008
2019,7,3,0.1340025,0.1223172
2019,8,1,0.1333613,0.1228912
2019,8,2,0.1332956,0.123362
2019,8,3,0.1333892,0.1239376
2019,9,1,0.1336286,0.1245958
2019,9,2,0.1342176,0.1259888
2019,9,3,0.1345773,0.1266699
2019,10,1,0.1350095,0.1273271
2019,10,2,0.1355056,0.1279605
2019,10,3,0.1365884,0.1291128
2019,11,1,0.1370375,0.1296042
2019,11,2,0.1373078,0.1300211
2019,11,3,0.1376379,0.1306266
2019,12,1,0.137724,0.130812
2019,12,2,0.1377621,0.1309026
2019,12,3,0.1377194,0.1309172
2020,1,1,N/A,0.1306821
2020,1,2,0.1371455,0.130453
2020,1,3,0.1361489,0.1298402
2020,2,1,0.1355155,0.1294744
2020,2,2,0.134821,0.1290805
2020,2,3,0.1341153,0.1286752
2020,3,1,0.1328857,0.12785
2020,3,2,0.1325184,0.127456
2020,3,3,0.1323762,0.1270719
2020,4,1,0.1324032,0.1266966
2020,4,2,N/A,0.1259254
2020,4,3,N/A,0.1255279
2020,5,1,N/A,0.1251215
2020,5,2,N/A,0.124703
2020,5,3,N/A,0.1238429
2020,6,1,N/A,0.1234117
2020,6,2,N/A,0.1230123
2020,6,3,N/A,0.1226622
2020,7,1,N/A,0.1222064
2020,7,2,N/A,0.1222008
2020,7,3,N/A,0.1223172
2020,8,1,N/A,0.1228912
2020,8,2,N/A,0.123362
2020,8,3,N/A,0.1239376
2020,9,1,N/A,0.1245958
2020,9,2,N/A,0.1259888
2020,9,3,N/A,0.1266699
2020,10,1,N/A,0.1273271
2020,10,2,N/A,0.1279605
2020,10,3,N/A,0.1291128
2020,11,1,N/A,0.1296042
2020,11,2,N/A,0.1300211
2020,11,3,N/A,0.1306266
2020,12,1,N/A,0.130812
2020,12,2,N/A,0.1309026
2020,12,3,N/A,0.1309172