"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,100.848639784562
2016,1,1,103.483873186557
2016,1,2,98.4408383275107
2016,1,3,99.0474453002518
2016,2,1,98.7791659902413
2016,2,2,98.6221907720148
2016,2,3,98.7929346664923
2016,3,1,98.1771205499853
2016,3,2,97.0254612986016
2016,3,3,96.0823015318155
2016,4,1,95.4240163196006
2016,4,2,98.0868988937526
2016,4,3,101.807650557425
2016,5,1,106.481632150444
2016,5,2,110.756240079336
2016,5,3,112.816790971856
2016,6,1,112.029319590703
2016,6,2,111.077296105805
2016,6,3,110.359258235252
2016,7,1,109.151897385828
2016,7,2,108.897081360811
2016,7,3,110.836265231296
2016,8,1,120.166962063724
2016,8,2,125.349444987812
2016,8,3,129.771694268384
2016,9,1,132.052449726041
2016,9,2,127.589864182618
2016,9,3,122.984154180268
2016,10,1,118.183004411423
2016,10,2,114.000710871129
2016,10,3,108.185344798346
2016,11,1,106.423812364105
2016,11,2,105.68634869902
2016,11,3,105.808196886408
2016,12,1,105.987214378877
2016,12,2,105.562606813897
2016,12,3,105.035419189701
2017,1,1,98.5633152707742
2017,1,2,104.440794145215
2017,1,3,103.734044295367
2017,2,1,103.551434316548
2017,2,2,103.442561909536
2017,2,3,103.728776525811
2017,3,1,104.509140454503
2017,3,2,104.200213509472
2017,3,3,103.67523262611
2017,4,1,102.971884052344
2017,4,2,100.820423217017
2017,4,3,100.498167490885
2017,5,1,101.532278911216
2017,5,2,103.727663749377
2017,5,3,105.964248313321
2017,6,1,105.162344986364
2017,6,2,104.128630908646
2017,6,3,102.813675853998
2017,7,1,100.364185804427
2017,7,2,99.8817113626821
2017,7,3,101.086802951757
2017,8,1,107.366817692406
2017,8,2,110.594089322918
2017,8,3,112.566399732254
2017,9,1,112.316555852142
2017,9,2,106.59695904052
2017,9,3,103.423709417591
2017,10,1,100.995077780358
2017,10,2,99.5644969027005
2017,10,3,98.9443672938958
2017,11,1,99.1695451696595
2017,11,2,99.0827231849182
2017,11,3,98.3013142977367
2017,12,1,97.8188909586102
2017,12,2,97.3218560803549
2017,12,3,97.0970424963819
2018,1,1,97.7667840324824
2018,1,1,104.496238023502
2018,1,2,97.8773036596617
2018,1,3,97.6338428170057
2018,2,1,97.6348953000623
2018,2,2,98.2000308412626
2018,2,3,98.7929346664923
2018,3,1,98.1656231229376
2018,3,2,97.3156823616265
2018,3,3,96.6051599447065
2018,4,1,96.136110001999
2018,4,2,95.3243550786398
2018,4,3,94.9970035225423
2018,5,1,94.7189958703674
2018,5,2,94.4893876005077
2018,5,3,94.8108245148112
2018,6,1,95.4289069632576
2018,6,2,95.9273573352927
2018,6,3,95.6999109113305
2018,7,1,94.3170556986194
2018,7,2,92.9697521205922
2018,7,3,92.138314447662
2018,8,1,92.3759975202543
2018,8,2,93.5962606271821
2018,8,3,95.7057927969765
2018,9,1,98.1913071820692
2018,9,2,102.037439280354
2018,9,3,102.357276782239
2018,10,1,102.670071975853
2018,10,2,103.808265200306
2018,10,3,108.998704323026
2018,11,1,112.132358867865
2018,11,2,114.54978255083
2018,11,3,114.372669866077
2018,12,1,112.250652012437
2018,12,2,110.169721677122
2018,12,3,108.25604263083