"Year","Month","Dekad","NDVI","Average"
2016,1,1,0.6831536,0.6879387
2016,1,2,0.6735135,0.6815181
2016,1,3,0.6694359,0.6814233
2016,2,1,0.6752029,0.6870889
2016,2,2,0.6855459,0.6956458
2016,2,3,0.6992378,0.7062502
2016,3,1,0.7304167,0.7298347
2016,3,2,0.7453299,0.7416213
2016,3,3,0.7592284,0.7530502
2016,4,1,0.7718505,0.7640782
2016,4,2,0.7937926,0.7846232
2016,4,3,0.8026542,0.7937015
2016,5,1,0.8096888,0.8016524
2016,5,2,0.815323,0.8083399
2016,5,3,0.8233904,0.8177278
2016,6,1,0.8258973,0.8206352
2016,6,2,0.8276981,0.8226196
2016,6,3,0.8289957,0.8238716
2016,7,1,0.830012,0.8242971
2016,7,2,0.8299086,0.8243081
2016,7,3,0.8295609,0.8242786
2016,8,1,0.8288839,0.8247217
2016,8,2,0.8288614,0.8253518
2016,8,3,0.8290276,0.8262217
2016,9,1,0.8291265,0.8272222
2016,9,2,0.8278373,0.8285429
2016,9,3,0.8257124,0.8282719
2016,10,1,0.8221263,0.8269361
2016,10,2,0.8168246,0.8241386
2016,10,3,0.7997095,0.812713
2016,11,1,0.7875063,0.8035475
2016,11,2,0.7732138,0.7919213
2016,11,3,0.739876,0.7622034
2016,12,1,0.7219564,0.7453132
2016,12,2,0.7043333,0.7282063
2016,12,3,0.6883545,0.7121458
2017,1,1,0.6658893,0.6879387
2017,1,2,0.6607186,0.6815181
2017,1,3,0.6617177,0.6814233
2017,2,1,0.6669051,0.6870889
2017,2,2,0.6749112,0.6956458
2017,2,3,0.6851918,0.7062502
2017,3,1,0.7093447,0.7298347
2017,3,2,0.7217316,0.7416213
2017,3,3,0.7342476,0.7530502
2017,4,1,0.7469747,0.7640782
2017,4,2,0.7721028,0.7846232
2017,4,3,0.7839106,0.7937015
2017,5,1,0.7948591,0.8016524
2017,5,2,0.804775,0.8083399
2017,5,3,0.8196635,0.8177278
2017,6,1,0.8242118,0.8206352
2017,6,2,0.8271386,0.8226196
2017,6,3,0.8286434,0.8238716
2017,7,1,0.8282904,0.8242971
2017,7,2,0.8270289,0.8243081
2017,7,3,0.8255329,0.8242786
2017,8,1,0.8224074,0.8247217
2017,8,2,0.8211099,0.8253518
2017,8,3,0.8201123,0.8262217
2017,9,1,0.8194475,0.8272222
2017,9,2,0.8183271,0.8285429
2017,9,3,0.8170622,0.8282719
2017,10,1,0.8148044,0.8269361
2017,10,2,0.8111299,0.8241386
2017,10,3,0.7991665,0.812713
2017,11,1,0.79061,0.8035475
2017,11,2,0.7798657,0.7919213
2017,11,3,0.7503772,0.7622034
2017,12,1,0.7315544,0.7453132
2017,12,2,0.71109,0.7282063
2017,12,3,0.6911273,0.7121458
2018,1,1,N/A,0.6879387
2018,1,2,0.6524402,0.6815181
2018,1,3,0.6545684,0.6814233
2018,2,1,0.6641181,0.6870889
2018,2,2,0.6781753,0.6956458
2018,2,3,0.69508,0.7062502
2018,3,1,0.7300974,0.7298347
2018,3,2,0.745976,0.7416213
2018,3,3,0.7598425,0.7530502
2018,4,1,0.771145,0.7640782
2018,4,2,0.7903979,0.7846232
2018,4,3,0.7976261,0.7937015
2018,5,1,0.8035885,0.8016524
2018,5,2,0.8091433,0.8083399
2018,5,3,0.8188894,0.8177278
2018,6,1,0.8223263,0.8206352
2018,6,2,0.8247437,0.8226196
2018,6,3,0.8259938,0.8238716
2018,7,1,0.8259989,0.8242971
2018,7,2,0.8252143,0.8243081
2018,7,3,0.824752,0.8242786
2018,8,1,0.8256804,0.8247217
2018,8,2,0.8282182,0.8253518
2018,8,3,0.8311734,0.8262217
2018,9,1,0.8329759,0.8272222
2018,9,2,0.8342396,0.8285429
2018,9,3,0.833814,0.8282719
2018,10,1,0.8323642,0.8269361
2018,10,2,0.8302473,0.8241386
2018,10,3,0.8182644,0.812713
2018,11,1,0.8092728,0.8035475
2018,11,2,0.7978034,0.7919213
2018,11,3,0.7679707,0.7622034
2018,12,1,0.7519918,0.7453132
2018,12,2,0.7364853,0.7282063
2018,12,3,0.7224639,0.7121458