"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2017,1,3,100,110.242713897479,0,0
2017,2,1,100,100.309350364235,0,0
2017,2,2,100,100.14994002399,0,0
2017,2,3,100,100.0799920008,0,0
2017,3,1,102.706211304174,102.76612742161,0.285,0.014
2017,3,2,107.056130573248,107.056130573248,0.472,0.034
2017,3,3,111.698515859928,111.698515859928,0.758,0.261
2017,4,1,116.652090257128,118.998951781971,2.108,1.139
2017,4,2,104.800717864354,110.066313985545,1.149,1.973
2017,4,3,90.288856659415,97.6211662810702,1.684,3.436
2017,5,1,112.272197622932,120.992883028424,11.255,6.046
2017,5,2,129.040837625829,130.120154570704,15.39,10.221
2017,5,3,186.429022879535,172.795828665,37.097,13.288
2017,6,1,143.091433062615,141.641480383212,19.44,23.746
2017,6,2,118.294878773921,123.622504460562,18.213,24.609
2017,6,3,85.370343672718,115.353669739301,29.328,31.818
2017,7,1,115.22412374108,125.626242432137,78.261,51.432
2017,7,2,134.281578876173,131.596698051466,80.949,54.602
2017,7,3,123.101644003747,121.628188728028,59.471,69.732
2017,8,1,105.543499900458,115.097715386733,61.638,66.586
2017,8,2,83.4148361127085,106.654592558831,50.214,71.057
2017,8,3,88.655609670484,100.799422960469,80.203,80.267
2017,9,1,85.204921957292,99.6414775066534,37.542,47.536
2017,9,2,92.2646176396491,100.216204155198,33.397,36.849
2017,9,3,79.3911908953722,98.2413401214802,20.072,32.847
2017,10,1,73.4808801810513,90.7579505555935,5.689,14.421
2017,10,2,56.836943793911,82.0480212196291,3.07,11.052
2017,10,3,48.1644223954642,80.3911283485927,1.629,6.857
2017,11,1,54.1195420007703,77.8635534898054,0.757,0.65
2017,11,2,71.2052042912577,80.0225367573681,0.092,0.017
2017,11,3,101.780693533271,70.0602875830046,0.011,0.003
2017,12,1,100.918072048698,66.307887521407,0.01,0.001
2017,12,2,100.169932027189,54.4905600675034,0,0
2017,12,3,100.0899910009,49.4360596265203,0,0
2018,1,1,100,54.4751574527642,0,0
2018,1,2,100,71.3087631218622,0,0
2018,1,3,100,101.86486739762,0,0
2018,2,1,100,100.918072048698,0,0
2018,2,2,100,100.169932027189,0,0
2018,2,3,100,100.0899910009,0,0
2018,3,1,100.289594567605,100.289594567605,0.043,0.014
2018,3,2,102.97571656051,102.97571656051,0.304,0.034
2018,3,3,111.737316907557,111.737316907557,1.172,0.261
2018,4,1,112.296659086934,112.534940600978,1.364,1.139
2018,4,2,97.7791071562103,100.014902019224,0.54,1.973
2018,4,3,80.4810248972685,88.0168476004034,1.414,3.436
2018,5,1,84.115590771382,91.3854080251495,6.093,6.046
2018,5,2,98.952967713699,99.0671416495592,11.885,10.221
2018,5,3,106.439135381115,101.135482202879,14.124,13.288
2018,6,1,105.440572875731,101.586735857664,24.361,23.746
2018,6,2,95.1397903493712,95.6819645477676,19.676,24.609
2018,6,3,116.443946635911,111.201653520859,50.964,31.818
2018,7,1,125.387963583604,116.78040879203,67.141,51.432
2018,7,2,128.815978140302,116.933830138134,62.352,54.602
2018,7,3,111.575315181465,113.156950733348,67.776,69.732
2018,8,1,108.442166036233,114.04332170523,77.754,66.586
2018,8,2,112.652788959172,115.982680451939,89.349,71.057
2018,8,3,106.339344478083,110.494803130729,65.255,80.267
2018,9,1,112.497366657091,114.377539944725,70.358,47.536
2018,9,2,102.457458259854,114.311214724965,33.331,36.849
2018,9,3,120.440612424547,111.894230843066,39.55,32.847
2018,10,1,98.0502990958063,108.520201613153,9.401,14.421
2018,10,2,101.558840749415,107.462523873218,10.434,11.052
2018,10,3,87.8407748641625,109.353806375042,7.348,6.857
2018,11,1,99.282187751672,107.723665964768,0.572,0.65
2018,11,2,102.767632960511,102.42914643071,0.089,0.017
2018,11,3,99.962511715089,113.016126616406,0.005,0.003
2018,12,1,100.758407344576,98.2572739292084,0.003,0.001
2018,12,2,100.039984006397,102.048834511128,0,0
2018,12,3,100.0199980002,88.0258598637241,0,0