"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2018,1,1,100.299820107935,43.5560880852532,0,0
2018,1,2,100.07,54.2752455857734,0,0
2018,1,3,100.01,105.02858025645,0.001,0
2018,2,1,101.925571186272,109.014557670773,0.215,0.023
2018,2,2,101.479289940828,106.149397590361,0.074,0.117
2018,2,3,107.699767261443,109.720219209691,0.817,0.172
2018,3,1,106.030018432371,107.967081071616,1.189,1.104
2018,3,2,164.838332684067,165.348747591522,9.151,1.559
2018,3,3,177.250127485977,180.7125,7.467,3.025
2018,4,1,148.150492900425,148.99277518062,6.144,7.53
2018,4,2,81.8861693861694,108.495998582524,1.682,10.333
2018,4,3,68.9872981601856,98.810989765226,12.209,15.674
2018,5,1,69.9975173783515,92.0113306342008,15.582,20.385
2018,5,2,87.3929628938032,93.1862163996879,27.731,28.915
2018,5,3,97.8164236138189,97.4082458561394,34.488,30.461
2018,6,1,92.5685569466707,91.4627905773311,34.619,46.039
2018,6,2,93.0650120799473,88.8031648120893,39.536,40.984
2018,6,3,103.226635814372,95.9046185546478,68.415,50.778
2018,7,1,108.405349297543,96.3566616589661,61.681,63.942
2018,7,2,124.211170037823,107.643548600981,101.609,69.872
2018,7,3,125.143061516452,113.52963292856,113.628,85.458
2018,8,1,128.96964034764,115.343161486048,103.308,89.416
2018,8,2,124.742353543585,118.448068153968,118.997,92.444
2018,8,3,110.752763866262,114.417740968313,98.086,106.454
2018,9,1,114.423174990592,118.799604550878,98.269,75.443
2018,9,2,106.964711861849,118.936811457462,63.026,59.944
2018,9,3,126.542449644432,120.194681178186,83.521,55.981
2018,10,1,123.745013827469,122.495455022847,37.651,31.009
2018,10,2,131.503811849121,119.71018452189,27.177,23.424
2018,10,3,131.931782647391,119.912833050239,34.868,18.713
2018,11,1,134.936569222284,120.450737388708,1.347,2.253
2018,11,2,150.856033604888,118.623901751204,1.19,0.458
2018,11,3,99.17554639496,128.803299551864,0.214,0.146
2018,12,1,108.879947599888,128.322715099673,0.232,0.083
2018,12,2,102.169027845628,138.10576253053,0.011,0.006
2018,12,3,101.566062047775,130.899502857408,0.004,0
2019,1,1,100.089946032381,136.23622533268,0,0
2019,1,2,100.04,151.192393948008,0,0
2019,1,3,100.02,100.417117256295,0.002,0
2019,2,1,101.406764441784,110.255692422546,0.162,0.023
2019,2,2,102.623274161736,104.742168674699,0.242,0.117
2019,2,3,103.859581070597,105.364868762619,0.306,0.172
2019,3,1,107.513385412095,108.807564349501,1.701,1.104
2019,3,2,108.866380989482,110.851637764933,1.966,1.559
2019,3,3,119.817695053544,121.93125,5.13,3.025
2019,4,1,85.4210002713213,90.5354866128347,1.794,7.53
2019,4,2,60.6481481481482,68.2514839205032,1.809,10.333
2019,4,3,58.5570893722581,70.6562771261885,11.891,15.674
2019,5,1,70.9409136047666,73.168428732886,16.305,20.385
2019,5,2,95.2970363059194,85.265002988946,33.252,28.915
2019,5,3,107.146756386404,93.3954072535004,36.619,30.461
2019,6,1,108.180912359745,94.1530924960183,44.986,46.039
2019,6,2,103.014495936745,94.4512669560245,39.722,40.984
2019,6,3,89.1577188246358,89.4089981194873,37.068,50.778
2019,7,1,86.308719161879,90.6674099480018,56.227,63.942
2019,7,2,86.9624650550896,93.3555231401671,65.927,69.872
2019,7,3,91.9296730520953,93.7084017778414,78.615,85.458
2019,8,1,104.12646322219,99.4702102294205,110.716,89.416
2019,8,2,115.025710556112,103.47639084975,119.656,92.444
2019,8,3,115.920808275844,101.978373083384,105.436,106.454
2019,9,1,120.557007255373,106.757828300898,107.701,75.443
2019,9,2,117.0087475828,108.402687882504,71.539,59.944
2019,9,3,114.376663620833,108.172744635054,41.078,55.981
2019,10,1,101.543323945098,110.559731132613,36.739,31.009
2019,10,2,103.682296078529,114.126717632427,37.031,23.424
2019,10,3,128.607509681765,117.808282459295,23.162,18.713
2019,11,1,137.429674572532,117.07756509308,4.555,2.253
2019,11,2,121.346741344196,114.068270611631,0.415,0.458
2019,11,3,118.441316014622,119.867614134138,0.258,0.146
2019,12,1,102.423505193225,111.404824489755,0.273,0.083
2019,12,2,103.136297020029,108.06838737832,0.025,0.006
2019,12,3,102.1409455843,130.633508339915,0.007,0
2020,1,1,100.259844093544,137.476172321769,0,0
2020,1,2,100.07,122.224327995199,0,0
2020,1,3,100.32,120.230186930326,0.032,0
2020,2,1,100.409059163923,103.04217991788,0.032,0.023
2020,2,2,100.710059171598,103.855421686747,0.148,0.117
2020,2,3,100.853374709077,103.230458609749,0.22,0.172
2020,3,1,104.292109189853,104.867798984416,1.514,1.104
2020,3,2,116.649785742111,117.078998073218,3.238,1.559
2020,3,3,148.769760326364,148.56875,8.587,3.025
2020,4,1,118.802568508637,119.923501912452,4.447,7.53
2020,4,2,116.223128723129,121.321206036087,12.865,10.333
2020,4,3,76.8955141603693,95.3166320124352,6.166,15.674
2020,5,1,97.0119875159597,104.23754274024,25.676,20.385
2020,5,2,86.2445647824579,96.7932155992583,22.819,28.915
2020,5,3,106.950680139482,102.970089777185,37.505,30.461
2020,6,1,100.683619980072,101.875564192938,45.88,46.039
2020,6,2,100.690282702143,97.9273105659351,34.979,40.984
2020,6,3,90.6692106278036,93.255048851202,43.151,50.778
2020,7,1,110.863950176218,105.387529880855,95.576,63.942
2020,7,2,126.965137312942,111.414666489855,98.337,69.872
2020,7,3,138.080097002687,117.848910333591,112.666,85.458
2020,8,1,107.551050850651,107.371502234112,52.979,89.416
2020,8,2,110.201645764069,114.091102082521,129.964,92.444
2020,8,3,103.417875124868,112.772911272271,115.567,106.454
2020,9,1,124.6214932071,115.661274753903,98.819,75.443
2020,9,2,121.432570550466,119.145834251035,81.431,59.944
2020,9,3,117.140260617377,118.621518462411,45.633,55.981
2020,10,1,129.657053283546,120.08621033962,66.412,31.009
2020,10,2,123.846064411115,117.627979598871,27.083,23.424
2020,10,3,128.712144901739,112.18560554912,3.524,18.713
2020,11,1,76.5048722191579,121.816194170267,1.004,2.253
2020,11,2,47.4573574338086,117.248533279121,0.385,0.458
2020,11,3,90.4098934432605,120.605975390362,0.235,0.146
2020,12,1,101.92757555909,116.815420942424,0.273,0.083
2020,12,2,102.833414753298,108.793366790312,0.017,0.006