"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,1.236,0.488
2016,1,2,0.831,0.448
2016,1,3,1.219,0.57
2016,2,1,1.746,1.075
2016,2,2,1.861,1.107
2016,2,3,2.781,0.49
2016,3,1,1.602,1.03
2016,3,2,1.264,1.296
2016,3,3,4.721,4.259
2016,4,1,6.905,9.604
2016,4,2,36.356,13.244
2016,4,3,25.816,12.256
2016,5,1,10.244,5.082
2016,5,2,4.007,3.94
2016,5,3,2.515,3.565
2016,6,1,0.396,0.037
2016,6,2,0,0
2016,6,3,1.199,0.642
2016,7,1,6.826,7.697
2016,7,2,11.483,12.276
2016,7,3,66.55,12.799
2016,8,1,72.555,20.154
2016,8,2,11.493,17.709
2016,8,3,7.672,16.152
2016,9,1,1.94,2.552
2016,9,2,0.659,0.48
2016,9,3,0.353,0.174
2016,10,1,0.177,0.109
2016,10,2,0.082,0.01
2016,10,3,0.015,0.027
2016,11,1,3.194,0.786
2016,11,2,1.649,1.107
2016,11,3,1.694,0.983
2016,12,1,1.164,0.863
2016,12,2,1.201,0.706
2016,12,3,1.51,0.928
2017,1,1,0.945,0.488
2017,1,2,0.649,0.448
2017,1,3,1.095,0.57
2017,2,1,1.478,1.075
2017,2,2,4.838,1.107
2017,2,3,1.032,0.49
2017,3,1,1.741,1.03
2017,3,2,0.891,1.296
2017,3,3,5.216,4.259
2017,4,1,2.06,9.604
2017,4,2,2.316,13.244
2017,4,3,16.624,12.256
2017,5,1,18.396,5.082
2017,5,2,16.341,3.94
2017,5,3,7.299,3.565
2017,6,1,0.042,0.037
2017,6,2,0,0
2017,6,3,1.112,0.642
2017,7,1,20.338,7.697
2017,7,2,30.978,12.276
2017,7,3,28.739,12.799
2017,8,1,33.254,20.154
2017,8,2,29.216,17.709
2017,8,3,26.58,16.152
2017,9,1,2.458,2.552
2017,9,2,0.965,0.48
2017,9,3,0.55,0.174
2017,10,1,0.065,0.109
2017,10,2,0.01,0.01
2017,10,3,0.075,0.027
2017,11,1,0.943,0.786
2017,11,2,1.182,1.107
2017,11,3,1.152,0.983
2017,12,1,1.164,0.863
2017,12,2,1.316,0.706
2017,12,3,1.42,0.928
2018,1,1,0.95,0.488
2018,1,2,0.647,0.448
2018,1,3,1.114,0.57
2018,2,1,2.328,1.075
2018,2,2,2.376,1.107
2018,2,3,1.42,0.49
2018,3,1,1.52,1.03
2018,3,2,1.055,1.296
2018,3,3,2.654,4.259
2018,4,1,12.47,9.604
2018,4,2,9.557,13.244
2018,4,3,25.087,12.256
2018,5,1,6.764,5.082
2018,5,2,5.425,3.94
2018,5,3,3.831,3.565
2018,6,1,1.147,0.037
2018,6,2,0,0
2018,6,3,1.182,0.642
2018,7,1,16.388,7.697
2018,7,2,4.647,12.276
2018,7,3,7.323,12.799
2018,8,1,32.816,20.154
2018,8,2,24.505,17.709
2018,8,3,18.1,16.152
2018,9,1,2.677,2.552
2018,9,2,2.697,0.48
2018,9,3,0.52,0.174
2018,10,1,0.192,0.109
2018,10,2,0.47,0.01
2018,10,3,0.582,0.027
2018,11,1,0.878,0.786
2018,11,2,1.418,1.107
2018,11,3,1.515,0.983
2018,12,1,1.216,0.863
2018,12,2,1.463,0.706
2018,12,3,1.602,0.928