"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,N/A,
2019,1,2,104.566387181303
2019,1,3,103.537573064173
2019,2,1,102.885139300142
2019,2,2,102.24987959992
2019,2,3,101.725801701108
2019,3,1,101.258817558119
2019,3,2,101.175896570238
2019,3,3,101.107172751604
2019,4,1,100.95403903549
2019,4,2,100.501341049772
2019,4,3,100.365745240789
2019,5,1,100.469532929371
2019,5,2,100.954169395203
2019,5,3,103.027761492194
2019,6,1,104.351667545434
2019,6,2,105.621349584032
2019,6,3,106.478330304532
2019,7,1,106.9528724788
2019,7,2,107.010631299379
2019,7,3,106.817538580446
2019,8,1,107.245579862048
2019,8,2,107.511595670398
2019,8,3,107.461514208557
2019,9,1,106.946344325543
2019,9,2,105.404817721605
2019,9,3,105.184707013532
2019,10,1,105.42050063841
2019,10,2,105.978792500371
2019,10,3,106.739107515143
2019,11,1,106.670360562787
2019,11,2,106.488477759238
2019,11,3,105.943638821876
2019,12,1,105.760256467801
2019,12,2,105.705071878324
2019,12,3,105.510044209508
2020,1,1,N/A,
2020,1,2,104.82541572165
2020,1,3,104.324616110483
2020,2,1,104.118325316191
2020,2,2,103.885804916733
2020,2,3,103.447188881478
2020,3,1,102.256604320819
2020,3,2,101.894519199847
2020,3,3,101.82289782885
2020,4,1,101.97808856912
2020,4,2,102.698478778655
2020,4,3,102.915078675699
2020,5,1,N/A,
2020,5,2,N/A,
2020,5,3,N/A,
2020,6,1,N/A,
2020,6,2,N/A,
2020,6,3,N/A,
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,