"Year","Month","Dekad","NDVI","Average"
2019,1,1,0.1516512,0.1425548
2019,1,2,0.148504,0.1410564
2019,1,3,0.1468009,0.1386465
2019,2,1,0.1458914,0.1378592
2019,2,2,0.1431469,0.1366163
2019,2,3,0.1402929,0.1355554
2019,3,1,0.1384798,0.1327159
2019,3,2,0.1372335,0.1317002
2019,3,3,0.136454,0.1308508
2019,4,1,0.1352984,0.1302796
2019,4,2,0.1325337,0.1296035
2019,4,3,0.1317471,0.1296157
2019,5,1,0.1324156,0.1296472
2019,5,2,0.135412,0.1296872
2019,5,3,0.138817,0.1297159
2019,6,1,0.1388369,0.1299318
2019,6,2,0.1395631,0.1306674
2019,6,3,0.139608,0.1323125
2019,7,1,0.144996,0.1399445
2019,7,2,0.1510161,0.1480637
2019,7,3,0.1610795,0.1600079
2019,8,1,0.1883381,0.1941111
2019,8,2,0.2040908,0.2123545
2019,8,3,0.2197471,0.2266882
2019,9,1,0.2308754,0.2330455
2019,9,2,0.227769,0.2208975
2019,9,3,0.2146414,0.2071253
2019,10,1,0.1986276,0.1923107
2019,10,2,0.1846999,0.1791597
2019,10,3,0.1688098,0.1610939
2019,11,1,0.1636413,0.1559499
2019,11,2,0.1590626,0.1521029
2019,11,3,0.1526292,0.1477547
2019,12,1,0.1504819,0.1467135
2019,12,2,0.1479296,0.1453965
2019,12,3,0.1462175,0.1446155
2020,1,1,N/A,0.1425548
2020,1,2,0.1428979,0.1410564
2020,1,3,0.1394657,0.1386465
2020,2,1,0.1373819,0.1378592
2020,2,2,0.1357932,0.1366163
2020,2,3,0.1346417,0.1355554
2020,3,1,0.1338947,0.1327159
2020,3,2,0.1329298,0.1317002
2020,3,3,0.1319522,0.1308508
2020,4,1,0.1307476,0.1302796
2020,4,2,0.1297515,0.1296035
2020,4,3,0.1298311,0.1296157
2020,5,1,0.1293515,0.1296472
2020,5,2,0.1299804,0.1296872
2020,5,3,0.1307093,0.1297159
2020,6,1,0.1299807,0.1299318
2020,6,2,0.1297349,0.1306674
2020,6,3,0.1292806,0.1323125
2020,7,1,0.1334637,0.1399445
2020,7,2,0.1415192,0.1480637
2020,7,3,0.1576984,0.1600079
2020,8,1,0.2169587,0.1941111
2020,8,2,0.2488467,0.2123545
2020,8,3,0.2696523,0.2266882
2020,9,1,0.2787695,0.2330455
2020,9,2,0.2736486,0.2208975
2020,9,3,0.264028,0.2071253
2020,10,1,0.2486418,0.1923107
2020,10,2,0.2303687,0.1791597
2020,10,3,0.1978828,0.1610939
2020,11,1,0.1863858,0.1559499
2020,11,2,0.1787801,0.1521029
2020,11,3,0.170609,0.1477547
2020,12,1,0.1679436,0.1467135
2020,12,2,0.1644112,0.1453965
2020,12,3,N/A,0.1446155
2021,1,1,N/A,0.1425548
2021,1,2,N/A,0.1410564
2021,1,3,N/A,0.1386465
2021,2,1,N/A,0.1378592
2021,2,2,N/A,0.1366163
2021,2,3,N/A,0.1355554
2021,3,1,N/A,0.1327159
2021,3,2,N/A,0.1317002
2021,3,3,N/A,0.1308508
2021,4,1,N/A,0.1302796
2021,4,2,N/A,0.1296035
2021,4,3,N/A,0.1296157
2021,5,1,N/A,0.1296472
2021,5,2,N/A,0.1296872
2021,5,3,N/A,0.1297159
2021,6,1,N/A,0.1299318
2021,6,2,N/A,0.1306674
2021,6,3,N/A,0.1323125
2021,7,1,N/A,0.1399445
2021,7,2,N/A,0.1480637
2021,7,3,N/A,0.1600079
2021,8,1,N/A,0.1941111
2021,8,2,N/A,0.2123545
2021,8,3,N/A,0.2266882
2021,9,1,N/A,0.2330455
2021,9,2,N/A,0.2208975
2021,9,3,N/A,0.2071253
2021,10,1,N/A,0.1923107
2021,10,2,N/A,0.1791597
2021,10,3,N/A,0.1610939
2021,11,1,N/A,0.1559499
2021,11,2,N/A,0.1521029
2021,11,3,N/A,0.1477547
2021,12,1,N/A,0.1467135
2021,12,2,N/A,0.1453965
2021,12,3,N/A,0.1446155