"Year","Month","Dekad","NDVI Anomaly"
2021,1,1,109.222357339847
2021,1,2,108.083323716719
2021,1,3,106.522041369488
2021,2,1,106.578220386212
2021,2,2,106.523482217271
2021,2,3,106.284745511631
2021,3,1,105.282833026398
2021,3,2,104.697057398522
2021,3,3,104.438041844122
2021,4,1,104.161856376643
2021,4,2,104.492580774728
2021,4,3,105.092490095613
2021,5,1,105.512659308999
2021,5,2,105.482932507526
2021,5,3,105.473529053701
2021,6,1,105.239951884654
2021,6,2,105.514718627556
2021,6,3,107.218887609457
2021,7,1,112.673971984127
2021,7,2,115.344557430083
2021,7,3,117.373844276959
2021,8,1,117.7518837246
2021,8,2,115.840431602242
2021,8,3,113.070739203538
2021,9,1,109.501832730545
2021,9,2,103.650436035127
2021,9,3,102.015771161081
2021,10,1,100.072824738097
2021,10,2,98.5982700054931
2021,10,3,97.7465494932068
2021,11,1,97.6152651361551
2021,11,2,97.5039708920057
2021,11,3,99.2408887932719
2021,12,1,100.020430820471
2021,12,2,100.627301255643
2021,12,3,101.107453241493
2022,1,1,100.548171112826
2022,1,2,100.035654956633
2022,1,3,99.5607362050176
2022,2,1,99.6976384340114
2022,2,2,100.178686669196
2022,2,3,100.708222058539
2022,3,1,100.819684973684
2022,3,2,100.678817814251
2022,3,3,100.269400240025
2022,4,1,100.177254546352
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,