"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0,0
2016,2,2,0,0
2016,2,3,0,0
2016,3,1,0.097,0
2016,3,2,0.391,0
2016,3,3,0.936,0.188
2016,4,1,5.333,1.225
2016,4,2,1.549,1.822
2016,4,3,4.106,3.527
2016,5,1,10.074,7.565
2016,5,2,14.641,9.967
2016,5,3,16.155,14.12
2016,6,1,19.485,27.432
2016,6,2,22.617,21.916
2016,6,3,27.073,30.283
2016,7,1,51.343,45.918
2016,7,2,73.476,45.363
2016,7,3,70.483,57.676
2016,8,1,68.667,59.828
2016,8,2,93.435,66.267
2016,8,3,104.114,65.784
2016,9,1,29.998,40.986
2016,9,2,38.729,33.181
2016,9,3,23.754,24.295
2016,10,1,2.088,10.822
2016,10,2,2.395,4.474
2016,10,3,1.289,2.278
2016,11,1,0.184,0.062
2016,11,2,0,0
2016,11,3,0,0
2016,12,1,0,0
2016,12,2,0,0
2016,12,3,0,0
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0,0
2017,2,2,0,0
2017,2,3,0,0
2017,3,1,0,0
2017,3,2,0.002,0
2017,3,3,0.319,0.188
2017,4,1,0.625,1.225
2017,4,2,0.62,1.822
2017,4,3,4.482,3.527
2017,5,1,20.166,7.565
2017,5,2,43.295,9.967
2017,5,3,8.038,14.12
2017,6,1,25.93,27.432
2017,6,2,50.413,21.916
2017,6,3,28.322,30.283
2017,7,1,59.544,45.918
2017,7,2,24.702,45.363
2017,7,3,50.698,57.676
2017,8,1,54.565,59.828
2017,8,2,34.348,66.267
2017,8,3,97.626,65.784
2017,9,1,19.1,40.986
2017,9,2,37.62,33.181
2017,9,3,10.509,24.295
2017,10,1,15.302,10.822
2017,10,2,1.634,4.474
2017,10,3,3.517,2.278
2017,11,1,0.204,0.062
2017,11,2,0,0
2017,11,3,0,0
2017,12,1,0,0
2017,12,2,0,0
2017,12,3,0,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,0,0
2018,2,2,0,0
2018,2,3,0,0
2018,3,1,0,0
2018,3,2,0.011,0
2018,3,3,1.798,0.188
2018,4,1,0.64,1.225
2018,4,2,0.745,1.822
2018,4,3,1.027,3.527
2018,5,1,5.894,7.565
2018,5,2,8.699,9.967
2018,5,3,27.751,14.12
2018,6,1,24.678,27.432
2018,6,2,14.38,21.916
2018,6,3,34.831,30.283
2018,7,1,34.956,45.918
2018,7,2,69.989,45.363
2018,7,3,71.821,57.676
2018,8,1,90.726,59.828
2018,8,2,48.438,66.267
2018,8,3,78.143,65.784
2018,9,1,43.114,40.986
2018,9,2,25.628,33.181
2018,9,3,52.222,24.295
2018,10,1,17.494,10.822
2018,10,2,8.634,4.474
2018,10,3,2.424,2.278
2018,11,1,0.19,0.062
2018,11,2,0,0
2018,11,3,0,0
2018,12,1,0,0
2018,12,2,0,0
2018,12,3,0,0