"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,0,0
2019,1,2,0,0
2019,1,3,0,0
2019,2,1,0,0
2019,2,2,0,0
2019,2,3,0,0
2019,3,1,0.011,0
2019,3,2,0.084,0
2019,3,3,0.889,0.188
2019,4,1,1.052,1.225
2019,4,2,2.512,1.822
2019,4,3,2.91,3.527
2019,5,1,7.305,7.565
2019,5,2,12.888,9.967
2019,5,3,19.35,14.12
2019,6,1,25.629,27.432
2019,6,2,17.123,21.916
2019,6,3,29.573,30.283
2019,7,1,75.286,45.918
2019,7,2,40.711,45.363
2019,7,3,78.395,57.676
2019,8,1,67.599,59.828
2019,8,2,50.204,66.267
2019,8,3,86.324,65.784
2019,9,1,25.666,40.986
2019,9,2,21.977,33.181
2019,9,3,18.015,24.295
2019,10,1,26.153,10.822
2019,10,2,17.804,4.474
2019,10,3,4.33,2.278
2019,11,1,0.119,0.062
2019,11,2,0,0
2019,11,3,0,0
2019,12,1,0,0
2019,12,2,0,0
2019,12,3,0,0
2020,1,1,0,0
2020,1,2,0,0
2020,1,3,0,0
2020,2,1,0,0
2020,2,2,0,0
2020,2,3,0,0
2020,3,1,0.026,0
2020,3,2,0.015,0
2020,3,3,0.497,0.188
2020,4,1,1.628,1.225
2020,4,2,,1.822
2020,4,3,,3.527
2020,5,1,,7.565
2020,5,2,,9.967
2020,5,3,,14.12
2020,6,1,,27.432
2020,6,2,,21.916
2020,6,3,,30.283
2020,7,1,,45.918
2020,7,2,,45.363
2020,7,3,,57.676
2020,8,1,,59.828
2020,8,2,,66.267
2020,8,3,,65.784
2020,9,1,,40.986
2020,9,2,,33.181
2020,9,3,,24.295
2020,10,1,,10.822
2020,10,2,,4.474
2020,10,3,,2.278
2020,11,1,,0.062
2020,11,2,,0
2020,11,3,,0
2020,12,1,,0
2020,12,2,,0
2020,12,3,,0