"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2014,1,1,0,0
2014,1,2,0,0
2014,1,3,0,0
2014,2,1,0,0
2014,2,2,0,0
2014,2,3,0,0
2014,3,1,0,0
2014,3,2,0.033,0
2014,3,3,0.429,0.188
2014,4,1,1.234,1.225
2014,4,2,1.386,1.822
2014,4,3,3.991,3.527
2014,5,1,28.529,7.565
2014,5,2,18.353,9.967
2014,5,3,14.812,14.12
2014,6,1,15.891,27.432
2014,6,2,32.825,21.916
2014,6,3,24.143,30.283
2014,7,1,49.655,45.918
2014,7,2,29.419,45.363
2014,7,3,51.617,57.676
2014,8,1,34.854,59.828
2014,8,2,79.666,66.267
2014,8,3,50.532,65.784
2014,9,1,77.491,40.986
2014,9,2,37.184,33.181
2014,9,3,34.146,24.295
2014,10,1,15.587,10.822
2014,10,2,4.053,4.474
2014,10,3,2.033,2.278
2014,11,1,0.188,0.062
2014,11,2,0,0
2014,11,3,0,0
2014,12,1,0,0
2014,12,2,0,0
2014,12,3,0,0
2015,1,1,0,0
2015,1,2,0,0
2015,1,3,0,0
2015,2,1,0,0
2015,2,2,0,0
2015,2,3,0,0
2015,3,1,0.036,0
2015,3,2,0.331,0
2015,3,3,0.892,0.188
2015,4,1,0.696,1.225
2015,4,2,0.579,1.822
2015,4,3,0.938,3.527
2015,5,1,5.489,7.565
2015,5,2,4.257,9.967
2015,5,3,6.336,14.12
2015,6,1,33.96,27.432
2015,6,2,20.421,21.916
2015,6,3,38.126,30.283
2015,7,1,25.869,45.918
2015,7,2,80.281,45.363
2015,7,3,72.027,57.676
2015,8,1,106.959,59.828
2015,8,2,72.596,66.267
2015,8,3,81.267,65.784
2015,9,1,39.941,40.986
2015,9,2,49.073,33.181
2015,9,3,39.521,24.295
2015,10,1,4.237,10.822
2015,10,2,14.851,4.474
2015,10,3,5.1,2.278
2015,11,1,0.134,0.062
2015,11,2,0,0
2015,11,3,0,0
2015,12,1,0,0
2015,12,2,0,0
2015,12,3,0,0
2016,1,1,0,0
2016,1,2,0,0
2016,1,3,0,0
2016,2,1,0,0
2016,2,2,0,0
2016,2,3,0,0
2016,3,1,0.097,0
2016,3,2,0.391,0
2016,3,3,0.936,0.188
2016,4,1,5.333,1.225
2016,4,2,1.549,1.822
2016,4,3,4.106,3.527
2016,5,1,10.074,7.565
2016,5,2,14.641,9.967
2016,5,3,16.155,14.12
2016,6,1,19.485,27.432
2016,6,2,22.617,21.916
2016,6,3,27.073,30.283
2016,7,1,51.343,45.918
2016,7,2,73.476,45.363
2016,7,3,70.483,57.676
2016,8,1,68.667,59.828
2016,8,2,93.435,66.267
2016,8,3,104.114,65.784
2016,9,1,29.998,40.986
2016,9,2,38.729,33.181
2016,9,3,23.754,24.295
2016,10,1,2.088,10.822
2016,10,2,2.395,4.474
2016,10,3,1.289,2.278
2016,11,1,0.184,0.062
2016,11,2,0,0
2016,11,3,0,0
2016,12,1,0,0
2016,12,2,0,0
2016,12,3,0,0