"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2018,1,1,28.526,17.658
2018,1,2,21.054,15.633
2018,1,3,27.215,20.946
2018,2,1,21.245,16.057
2018,2,2,29.181,18.458
2018,2,3,26.07,13.567
2018,3,1,7.15,12.964
2018,3,2,6.664,15.272
2018,3,3,9.102,15.712
2018,4,1,12.594,10.522
2018,4,2,5.057,8.152
2018,4,3,10.474,7.562
2018,5,1,19.762,5.846
2018,5,2,13.063,4.753
2018,5,3,9.653,3.256
2018,6,1,5.628,0.927
2018,6,2,3.465,0.179
2018,6,3,0.683,0.093
2018,7,1,0.007,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0,0
2018,8,3,0.005,0
2018,9,1,1.58,0.256
2018,9,2,0.27,0.306
2018,9,3,0.669,1.279
2018,10,1,5.048,3.415
2018,10,2,9.27,4.637
2018,10,3,12.95,7.456
2018,11,1,6.435,11.125
2018,11,2,11.506,8.98
2018,11,3,24.406,11.417
2018,12,1,21.68,15.553
2018,12,2,30.574,17.653
2018,12,3,28.268,15.181
2019,1,1,32.542,17.658
2019,1,2,20.776,15.633
2019,1,3,9.673,20.946
2019,2,1,42.417,16.057
2019,2,2,30.188,18.458
2019,2,3,14.821,13.567
2019,3,1,13.202,12.964
2019,3,2,13.12,15.272
2019,3,3,21.658,15.712
2019,4,1,15.506,10.522
2019,4,2,20.558,8.152
2019,4,3,9.351,7.562
2019,5,1,2.914,5.846
2019,5,2,1.338,4.753
2019,5,3,3.791,3.256
2019,6,1,3.315,0.927
2019,6,2,0.27,0.179
2019,6,3,0.156,0.093
2019,7,1,0.002,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0,0
2019,8,2,0,0
2019,8,3,0.005,0
2019,9,1,0.268,0.256
2019,9,2,0.329,0.306
2019,9,3,0.29,1.279
2019,10,1,1.39,3.415
2019,10,2,3.347,4.637
2019,10,3,6.288,7.456
2019,11,1,5.125,11.125
2019,11,2,4.118,8.98
2019,11,3,25.49,11.417
2019,12,1,13.177,15.553
2019,12,2,18.422,17.653
2019,12,3,39.517,15.181
2020,1,1,20.791,17.658
2020,1,2,8.71,15.633
2020,1,3,9.764,20.946
2020,2,1,6.342,16.057
2020,2,2,11.22,18.458
2020,2,3,5.905,13.567
2020,3,1,13.304,12.964
2020,3,2,24.288,15.272
2020,3,3,15.125,15.712
2020,4,1,8.662,10.522
2020,4,2,,8.152
2020,4,3,,7.562
2020,5,1,,5.846
2020,5,2,,4.753
2020,5,3,,3.256
2020,6,1,,0.927
2020,6,2,,0.179
2020,6,3,,0.093
2020,7,1,,0
2020,7,2,,0
2020,7,3,,0
2020,8,1,,0
2020,8,2,,0
2020,8,3,,0
2020,9,1,,0.256
2020,9,2,,0.306
2020,9,3,,1.279
2020,10,1,,3.415
2020,10,2,,4.637
2020,10,3,,7.456
2020,11,1,,11.125
2020,11,2,,8.98
2020,11,3,,11.417
2020,12,1,,15.553
2020,12,2,,17.653
2020,12,3,,15.181