"Year","Month","Dekad","NDVI Anomaly"
2017,1,1,107.758440047617
2017,1,1,103.553409528145
2017,1,2,106.412233765674
2017,1,3,104.80775248488
2017,2,1,104.604364881036
2017,2,2,104.892666582121
2017,2,3,105.81350721456
2017,3,1,107.172924991612
2017,3,2,106.688889634058
2017,3,3,105.360128461
2017,4,1,103.657603094981
2017,4,2,100.167559039423
2017,4,3,99.0229498954291
2017,5,1,100.438895862201
2017,5,2,104.110055996276
2017,5,3,113.136668995092
2017,6,1,114.856311024592
2017,6,2,114.541070695309
2017,6,3,112.661965370944
2017,7,1,106.336709508935
2017,7,2,102.328861949532
2017,7,3,100.667145073701
2017,8,1,105.367062815059
2017,8,2,108.62139136229
2017,8,3,109.775130590866
2017,9,1,110.109767032497
2017,9,2,108.956953114677
2017,9,3,106.475784701788
2017,10,1,103.696977774816
2017,10,2,101.59953263639
2017,10,3,100.482828691773
2017,11,1,100.515229094082
2017,11,2,100.124689097848
2017,11,3,99.0032879913493
2017,12,1,98.5349930678242
2017,12,2,98.0200036675409
2017,12,3,97.8713541913109
2018,1,1,103.114675178519
2018,1,1,106.976079381337
2018,1,2,100.868350075237
2018,1,3,101.712960065543
2018,2,1,101.719618348829
2018,2,2,102.293318108527
2018,2,3,102.713712435769
2018,3,1,101.87037997336
2018,3,2,101.124307374022
2018,3,3,100.954684209233
2018,4,1,101.290663652243
2018,4,2,103.970650917481
2018,4,3,106.290880978223
2018,5,1,108.555831669202
2018,5,2,109.744586631942
2018,5,3,111.032236275558
2018,6,1,111.995827737522
2018,6,2,113.107814742875
2018,6,3,112.75947107238
2018,7,1,110.021936607097
2018,7,2,107.402971803744
2018,7,3,105.627695888285
2018,8,1,103.868495552895
2018,8,2,103.517955323039
2018,8,3,103.505782439918
2018,9,1,103.631537228419
2018,9,2,102.564487394953
2018,9,3,101.0862218914
2018,10,1,100.412127798039
2018,10,2,101.610551313047
2018,10,3,110.374880295233
2018,11,1,115.955860650741
2018,11,2,120.267825125079
2018,11,3,120.854438111954
2018,12,1,118.264712982288
2018,12,2,115.984509829702
2018,12,3,113.682330303301
2019,1,2,107.863901925147
2019,1,3,105.241859777086
2019,2,1,104.235379508877
2019,2,2,103.741062077158
2019,2,3,103.727837302534
2019,3,1,104.254237460472
2019,3,2,103.806762813771
2019,3,3,102.796723903602
2019,4,1,101.518840551464
2019,4,2,102.417059165337
2019,4,3,104.006314766019
2019,5,1,104.619661841993
2019,5,2,106.231920012641
2019,5,3,116.144233289324
2019,6,1,122.618285742668
2019,6,2,127.84277314008
2019,6,3,130.991404846539
2019,7,1,130.61375390445
2019,7,1,129.901213579804
2019,7,2,127.827629100788
2019,7,3,126.488091543832
2019,8,1,125.027314042209
2019,8,2,122.863747022448
2019,8,3,119.761605190893
2019,9,1,116.627434453748
2019,9,2,112.833793848907
2019,9,3,114.394491547874
2019,10,1,118.274421827643
2019,10,2,123.107238197316
2019,10,3,129.098652299499
2019,11,1,128.076977985666
2019,11,2,126.179786990484
2019,11,3,125.885935699436
2019,12,1,127.613558438562
2019,12,2,128.762992090568
2019,12,3,129.319241668288