"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,2.977,6.023
2017,1,2,1.932,4.824
2017,1,3,3.425,6.834
2017,2,1,2.615,8.797
2017,2,2,5.571,8.204
2017,2,3,3.67,6.879
2017,3,1,19.369,7.648
2017,3,2,15.551,8.72
2017,3,3,8.01,10.462
2017,4,1,5,6.174
2017,4,2,9.351,4.276
2017,4,3,2.85,4.657
2017,5,1,1.954,2.817
2017,5,2,1.47,2.214
2017,5,3,1.593,1.618
2017,6,1,0.009,0
2017,6,2,0,0
2017,6,3,0,0
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0
2017,8,2,0,0
2017,8,3,0,0
2017,9,1,0,0
2017,9,2,0,0
2017,9,3,0.002,0.002
2017,10,1,0.926,1.006
2017,10,2,0.814,1.739
2017,10,3,1.977,3.882
2017,11,1,4.405,8.173
2017,11,2,8.15,7.888
2017,11,3,7.391,7.873
2017,12,1,3.535,6.915
2017,12,2,6.478,6.568
2017,12,3,14.739,5.98
2018,1,1,13.462,6.023
2018,1,2,4.703,4.824
2018,1,3,6.033,6.834
2018,2,1,6.304,8.797
2018,2,2,16.333,8.204
2018,2,3,10.207,6.879
2018,3,1,3.393,7.648
2018,3,2,4.575,8.72
2018,3,3,10.554,10.462
2018,4,1,4.639,6.174
2018,4,2,3.228,4.276
2018,4,3,16.134,4.657
2018,5,1,13.332,2.817
2018,5,2,2.663,2.214
2018,5,3,8.161,1.618
2018,6,1,0.843,0
2018,6,2,0.002,0
2018,6,3,0,0
2018,7,1,0,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0,0
2018,8,3,0,0
2018,9,1,0,0
2018,9,2,0,0
2018,9,3,0.712,0.002
2018,10,1,1.936,1.006
2018,10,2,5.468,1.739
2018,10,3,5.469,3.882
2018,11,1,5.64,8.173
2018,11,2,17.696,7.888
2018,11,3,20.923,7.873
2018,12,1,12.57,6.915
2018,12,2,7.943,6.568
2018,12,3,5.267,5.98
2019,1,1,8.565,6.023
2019,1,2,9.131,4.824
2019,1,3,5.04,6.834
2019,2,1,20.517,8.797
2019,2,2,10.081,8.204
2019,2,3,6.441,6.879
2019,3,1,5.79,7.648
2019,3,2,6.928,8.72
2019,3,3,21.639,10.462
2019,4,1,8.997,6.174
2019,4,2,6.672,4.276
2019,4,3,4.589,4.657
2019,5,1,4.474,2.817
2019,5,2,1.235,2.214
2019,5,3,1.594,1.618
2019,6,1,1.353,0
2019,6,2,0,0
2019,6,3,0,0
2019,7,1,0,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0,0
2019,8,2,0,0
2019,8,3,0,0
2019,9,1,0,0
2019,9,2,0,0
2019,9,3,0.002,0.002
2019,10,1,0.97,1.006
2019,10,2,2.542,1.739
2019,10,3,5.459,3.882
2019,11,1,3.055,8.173
2019,11,2,13.33,7.888
2019,11,3,4.693,7.873
2019,12,1,5.975,6.915
2019,12,2,5.631,6.568
2019,12,3,10.806,5.98