"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2014,1,1,0.001,0
2014,1,2,0.001,0.001
2014,1,3,0.001,0.001
2014,2,1,0.021,0.026
2014,2,2,0.06,0.063
2014,2,3,0.067,0.064
2014,3,1,0.825,1.336
2014,3,2,2.167,2.512
2014,3,3,16.117,4.114
2014,4,1,11.418,8.744
2014,4,2,8.939,10.946
2014,4,3,23.375,16.26
2014,5,1,19.714,22.781
2014,5,2,27.086,27.445
2014,5,3,12.833,29.864
2014,6,1,104.577,45.969
2014,6,2,66.799,36.504
2014,6,3,63.139,46.995
2014,7,1,47.718,61.082
2014,7,2,33.136,60.41
2014,7,3,61.563,74.326
2014,8,1,88.396,82.19
2014,8,2,129.675,85.271
2014,8,3,91.725,97.283
2014,9,1,91.495,68.502
2014,9,2,38.269,57.744
2014,9,3,72.926,50.656
2014,10,1,24.074,27.057
2014,10,2,25.252,17.812
2014,10,3,14.825,14.939
2014,11,1,4.442,2.705
2014,11,2,4.221,0.412
2014,11,3,0.767,0.073
2014,12,1,0.204,0.012
2014,12,2,0,0
2014,12,3,0,0
2015,1,1,0.001,0
2015,1,2,0.001,0.001
2015,1,3,0.005,0.001
2015,2,1,0.025,0.026
2015,2,2,0.335,0.063
2015,2,3,0.305,0.064
2015,3,1,1.287,1.336
2015,3,2,4.021,2.512
2015,3,3,3.789,4.114
2015,4,1,2.201,8.744
2015,4,2,1.064,10.946
2015,4,3,2.443,16.26
2015,5,1,28.351,22.781
2015,5,2,15.47,27.445
2015,5,3,24.04,29.864
2015,6,1,31.392,45.969
2015,6,2,32.411,36.504
2015,6,3,36.326,46.995
2015,7,1,103.417,61.082
2015,7,2,72.056,60.41
2015,7,3,47.375,74.326
2015,8,1,121.879,82.19
2015,8,2,124.362,85.271
2015,8,3,97.374,97.283
2015,9,1,125.931,68.502
2015,9,2,141.867,57.744
2015,9,3,128.552,50.656
2015,10,1,22.843,27.057
2015,10,2,45.86,17.812
2015,10,3,27.501,14.939
2015,11,1,4.817,2.705
2015,11,2,0.225,0.412
2015,11,3,0.44,0.073
2015,12,1,0.12,0.012
2015,12,2,0,0
2015,12,3,0,0
2016,1,1,0.04,0
2016,1,2,0.001,0.001
2016,1,3,0.004,0.001
2016,2,1,0.015,0.026
2016,2,2,0.1,0.063
2016,2,3,0.11,0.064
2016,3,1,0.973,1.336
2016,3,2,2.133,2.512
2016,3,3,1.701,4.114
2016,4,1,15.689,8.744
2016,4,2,10.662,10.946
2016,4,3,23.051,16.26
2016,5,1,24.455,22.781
2016,5,2,36.176,27.445
2016,5,3,34.131,29.864
2016,6,1,42.052,45.969
2016,6,2,46.043,36.504
2016,6,3,53.298,46.995
2016,7,1,66.095,61.082
2016,7,2,76.902,60.41
2016,7,3,77.702,74.326
2016,8,1,88.254,82.19
2016,8,2,99.54,85.271
2016,8,3,105.783,97.283
2016,9,1,63.78,68.502
2016,9,2,81.438,57.744
2016,9,3,38.525,50.656
2016,10,1,8.117,27.057
2016,10,2,12.021,17.812
2016,10,3,5.527,14.939
2016,11,1,5.617,2.705
2016,11,2,0.298,0.412
2016,11,3,0.87,0.073
2016,12,1,0.089,0.012
2016,12,2,0.035,0
2016,12,3,0,0