"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,N/A,
2019,1,2,109.299847016548
2019,1,3,105.954890990353
2019,2,1,104.508205428094
2019,2,2,103.572078895459
2019,2,3,102.926993562071
2019,3,1,102.717575170547
2019,3,2,102.376819863698
2019,3,3,101.83739762525
2019,4,1,101.313678555342
2019,4,2,100.847892924919
2019,4,3,101.09860421731
2019,5,1,101.659973182404
2019,5,2,102.94403213507
2019,5,3,108.112038973387
2019,6,1,110.852580263456
2019,6,2,113.560800235414
2019,6,3,115.791546776158
2019,7,1,117.438049611389
2019,7,2,116.459821981226
2019,7,3,115.086118822876
2019,8,1,114.159099933534
2019,8,2,114.543278647322
2019,8,3,114.644941767362
2019,9,1,114.561215559878
2019,9,2,112.984245927451
2019,9,3,112.531649713211
2019,10,1,112.859998156658
2019,10,2,113.459330278787
2019,10,3,113.325186552612
2019,11,1,112.561318115395
2019,11,2,111.929279783242
2019,11,3,112.591893489425
2019,12,1,113.570658526836
2019,12,2,114.079613562109
2019,12,3,114.149268700557
2020,1,1,N/A,
2020,1,2,113.025424653867
2020,1,3,111.423050005744
2020,2,1,110.481446239547
2020,2,2,109.471367501371
2020,2,3,108.277711656316
2020,3,1,106.369220858668
2020,3,2,106.227871243461
2020,3,3,107.017817913272
2020,4,1,108.4197781379
2020,4,2,112.062596380428
2020,4,3,112.526911995482
2020,5,1,N/A,
2020,5,2,N/A,
2020,5,3,N/A,
2020,6,1,N/A,
2020,6,2,N/A,
2020,6,3,N/A,
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,