"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,106.097880280423
2019,1,2,106.726156333462
2019,1,3,107.091462978042
2019,2,1,106.811734071633
2019,2,2,106.280165245633
2019,2,3,105.557222813869
2019,3,1,104.370565083038
2019,3,2,104.181460126587
2019,3,3,103.970207516806
2019,4,1,103.150965443039
2019,4,2,101.768110526166
2019,4,3,102.008469939069
2019,5,1,103.045886187201
2019,5,2,104.600992778292
2019,5,3,107.578179947603
2019,6,1,107.97790134498
2019,6,2,107.78330712625
2019,6,3,106.863902951819
2019,7,1,103.000724735818
2019,7,2,100.967870144462
2019,7,3,99.9172163083873
2019,8,1,98.3865008721127
2019,8,2,98.1153343475116
2019,8,3,98.0668464209582
2019,9,1,98.3400819854159
2019,9,2,98.9031997919836
2019,9,3,99.1680415540096
2019,10,1,100.228782416189
2019,10,2,101.748317533617
2019,10,3,105.42484453769
2019,11,1,106.888014565707
2019,11,2,107.909752634035
2019,11,3,107.82951428589
2019,12,1,107.063713023488
2019,12,2,106.168169648744
2019,12,3,105.292346207266
2020,1,1,N/A,
2020,1,2,104.066770491687
2020,1,3,103.226889304452
2020,2,1,102.902061662567
2020,2,2,102.744153819925
2020,2,3,102.539017684167
2020,3,1,102.351632147502
2020,3,2,102.772413301054
2020,3,3,103.422739821578
2020,4,1,103.159786896815
2020,4,2,100.606543369326
2020,4,3,99.2339076843817
2020,5,1,98.3268463687529
2020,5,2,97.8256670267694
2020,5,3,97.2042773348143
2020,6,1,97.328514284907
2020,6,2,97.5044454071302
2020,6,3,97.5487633994393
2020,7,1,97.2852327115863
2020,7,2,98.2232720482277
2020,7,3,99.0893320331684
2020,8,1,99.3352055507448
2020,8,2,99.102705994978
2020,8,3,98.9313868661577
2020,9,1,99.2688796808811
2020,9,2,100.647151565593
2020,9,3,101.500575396452
2020,10,1,102.896442131892
2020,10,2,104.725498598319
2020,10,3,107.642384819577
2020,11,1,106.564783540424
2020,11,2,104.970050852614
2020,11,3,102.74787332612
2020,12,1,103.26485109785
2020,12,2,103.988167240915
2020,12,3,104.503067742022
2021,1,1,105.744265412054
2021,1,2,106.511915092269
2021,1,3,107.721958251647
2021,2,1,108.925962463006
2021,2,2,N/A,
2021,2,3,N/A,
2021,3,1,N/A,
2021,3,2,N/A,
2021,3,3,N/A,
2021,4,1,N/A,
2021,4,2,N/A,
2021,4,3,N/A,
2021,5,1,N/A,
2021,5,2,N/A,
2021,5,3,N/A,
2021,6,1,N/A,
2021,6,2,N/A,
2021,6,3,N/A,
2021,7,1,N/A,
2021,7,2,N/A,
2021,7,3,N/A,
2021,8,1,N/A,
2021,8,2,N/A,
2021,8,3,N/A,
2021,9,1,N/A,
2021,9,2,N/A,
2021,9,3,N/A,
2021,10,1,N/A,
2021,10,2,N/A,
2021,10,3,N/A,
2021,11,1,N/A,
2021,11,2,N/A,
2021,11,3,N/A,
2021,12,1,N/A,
2021,12,2,N/A,
2021,12,3,N/A,