"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2018,1,1,1.278,1.032
2018,1,2,0.008,0.008
2018,1,3,0,0
2018,2,1,0.056,0.008
2018,2,2,0.143,0.063
2018,2,3,0.024,0.016
2018,3,1,0.127,0.111
2018,3,2,0.143,0.151
2018,3,3,0.23,0.127
2018,4,1,0.698,0.389
2018,4,2,1.683,0.516
2018,4,3,0.563,0.198
2018,5,1,0.048,0.024
2018,5,2,0.349,0.016
2018,5,3,0.603,0.016
2018,6,1,0,0
2018,6,2,0,0
2018,6,3,0,0
2018,7,1,0,0
2018,7,2,0,0
2018,7,3,0,0
2018,8,1,0,0
2018,8,2,0.008,0
2018,8,3,0.048,0.032
2018,9,1,0.262,0.175
2018,9,2,0.302,0.19
2018,9,3,0.508,0.421
2018,10,1,1.746,0.865
2018,10,2,3.365,0.77
2018,10,3,1.897,2.111
2018,11,1,5.77,7.452
2018,11,2,5.008,6.651
2018,11,3,7.889,7.714
2018,12,1,5.579,10.317
2018,12,2,9.151,14.159
2018,12,3,11.103,13.667
2019,1,1,1.278,1.032
2019,1,2,0.008,0.008
2019,1,3,0,0
2019,2,1,0.056,0.008
2019,2,2,0.143,0.063
2019,2,3,0.024,0.016
2019,3,1,0.127,0.111
2019,3,2,0.143,0.151
2019,3,3,0.135,0.127
2019,4,1,0.659,0.389
2019,4,2,0.746,0.516
2019,4,3,0.437,0.198
2019,5,1,0.024,0.024
2019,5,2,0.008,0.016
2019,5,3,0.103,0.016
2019,6,1,0.008,0
2019,6,2,0,0
2019,6,3,0,0
2019,7,1,0,0
2019,7,2,0,0
2019,7,3,0,0
2019,8,1,0,0
2019,8,2,0.008,0
2019,8,3,0.048,0.032
2019,9,1,0.262,0.175
2019,9,2,0.302,0.19
2019,9,3,0.492,0.421
2019,10,1,1.476,0.865
2019,10,2,2.024,0.77
2019,10,3,1.405,2.111
2019,11,1,11.333,7.452
2019,11,2,5.056,6.651
2019,11,3,18.19,7.714
2019,12,1,43.159,10.317
2019,12,2,10.444,14.159
2019,12,3,14.508,13.667
2020,1,1,1.27,1.032
2020,1,2,0.008,0.008
2020,1,3,0,0
2020,2,1,0.056,0.008
2020,2,2,0.452,0.063
2020,2,3,0.024,0.016
2020,3,1,0.135,0.111
2020,3,2,0.167,0.151
2020,3,3,0.325,0.127
2020,4,1,0.675,0.389
2020,4,2,,0.516
2020,4,3,,0.198
2020,5,1,,0.024
2020,5,2,,0.016
2020,5,3,,0.016
2020,6,1,,0
2020,6,2,,0
2020,6,3,,0
2020,7,1,,0
2020,7,2,,0
2020,7,3,,0
2020,8,1,,0
2020,8,2,,0
2020,8,3,,0.032
2020,9,1,,0.175
2020,9,2,,0.19
2020,9,3,,0.421
2020,10,1,,0.865
2020,10,2,,0.77
2020,10,3,,2.111
2020,11,1,,7.452
2020,11,2,,6.651
2020,11,3,,7.714
2020,12,1,,10.317
2020,12,2,,14.159
2020,12,3,,13.667