"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.2414725,0.2399469
2018,1,1,0.2421847,0.2399469
2018,1,1,0.2451204,0.2399469
2018,1,2,0.2207755,0.2346245
2017,1,2,0.2417377,0.2346245
2019,1,2,0.2361225,0.2346245
2019,1,3,0.2266867,0.224701
2017,1,3,0.2348021,0.224701
2018,1,3,0.2134551,0.224701
2018,2,1,0.2099194,0.2198969
2017,2,1,0.2300072,0.2198969
2019,2,1,0.2219439,0.2198969
2019,2,2,0.2171296,0.2149979
2017,2,2,0.2242296,0.2149979
2018,2,2,0.2077653,0.2149979
2018,2,3,0.2074459,0.2106184
2017,2,3,0.2187306,0.2106184
2019,2,3,0.2126367,0.2106184
2019,3,1,0.2072112,0.2035418
2017,3,1,0.2094826,0.2035418
2018,3,1,0.2082245,0.2035418
2018,3,2,0.2064796,0.2012224
2017,3,2,0.2068969,0.2012224
2019,3,2,0.2059439,0.2012224
2019,3,3,0.2053337,0.2000184
2017,3,3,0.2052643,0.2000184
2018,3,3,0.2047204,0.2000184
2018,4,1,0.2031898,0.1998378
2017,4,1,0.2041367,0.1998378
2019,4,1,0.2046133,0.1998378
2019,4,2,0.2044449,0.2029204
2017,4,2,0.2091786,0.2029204
2018,4,2,0.2020082,0.2029204
2018,4,3,0.2011255,0.2055357
2017,4,3,0.2150449,0.2055357
2019,4,3,0.2065979,0.2055357
2019,5,1,0.2088102,0.2082316
2017,5,1,0.2246806,0.2082316
2018,5,1,0.2002469,0.2082316
2018,5,2,0.201549,0.2113898
2017,5,2,0.2372796,0.2113898
2019,5,2,0.212449,0.2113898
2019,5,3,0.2254367,0.222001
2017,5,3,0.2790612,0.222001
2018,5,3,0.2130714,0.222001
2018,6,1,0.2226143,0.2311204
2017,6,1,0.3046725,0.2311204
2019,6,1,0.2353714,0.2311204
2019,6,2,0.2489898,0.2432408
2017,6,2,0.3319623,0.2432408
2018,6,2,0.2339663,0.2432408
2018,6,3,0.2516479,0.2592888
2017,6,3,0.3609255,0.2592888
2019,6,3,0.2672745,0.2592888
2019,7,1,0.3223663,0.3043775
2019,7,1,0.3121582,0.3043775
2017,7,1,0.4132775,0.3043775
2018,7,1,0.3097265,0.3043775
2018,7,2,0.3471082,0.3349092
2017,7,2,0.4349623,0.3349092
2019,7,2,0.3460775,0.3349092
2019,7,3,0.3834479,0.3694123
2017,7,3,0.4560725,0.3694123
2018,7,3,0.3917908,0.3694123
2018,8,1,0.4690888,0.4415735
2017,8,1,0.4903194,0.4415735
2019,8,1,0.4487449,0.4415735
2019,8,2,0.4819592,0.4746918
2017,8,2,0.4949153,0.4746918
2018,8,2,0.5013786,0.4746918
2018,8,3,0.5270816,0.5027357
2017,8,3,0.4938908,0.5027357
2019,8,3,0.5079459,0.5027357
2019,9,1,0.5268877,0.5229377
2017,9,1,0.4922653,0.5229377
2018,9,1,0.5443541,0.5229377
2018,9,2,0.5457531,0.532851
2017,9,2,0.4910306,0.532851
2019,9,2,0.5385541,0.532851
2019,9,3,0.5313123,0.5222439
2017,9,3,0.4826418,0.5222439
2018,9,3,0.5320214,0.5222439
2018,10,1,0.5108602,0.5010602
2017,10,1,0.4607561,0.5010602
2019,10,1,0.5162816,0.5010602
2019,10,2,0.4957704,0.4700449
2017,10,2,0.4294102,0.4700449
2018,10,2,0.4833235,0.4700449
2018,10,3,0.4125847,0.3947439
2017,10,3,0.3537643,0.3947439
2019,10,3,0.4341755,0.3947439
2019,11,1,0.3962153,0.3586051
2017,11,1,0.319899,0.3586051
2018,11,1,0.3752459,0.3586051
2018,11,2,0.3417714,0.327649
2017,11,2,0.2942918,0.327649
2019,11,2,0.3577021,0.327649
2019,11,3,0.2957235,0.2842755
2017,11,3,0.2656337,0.2842755
2018,11,3,0.2918959,0.2842755
2018,12,1,0.2763316,0.2706918
2017,12,1,0.2563459,0.2706918
2019,12,1,0.2766459,0.2706918
2019,12,2,0.2630612,0.2603694
2017,12,2,0.2475072,0.2603694
2018,12,2,0.2655286,0.2603694
2018,12,3,0.2570867,0.2523969
2017,12,3,0.2393725,0.2523969
2019,12,3,0.2536428,0.2523969