"Year","Month","Dekad","NDVI Anomaly"
2018,1,1,102.056036414038
2018,1,2,92.7718394024046
2018,1,3,94.0817432465624
2018,2,1,94.6561834740712
2018,2,2,95.6879068343492
2018,2,3,97.177763653756
2018,3,1,100.336772313074
2018,3,2,100.986820943817
2018,3,3,100.980013014967
2018,4,1,99.9042840258675
2018,4,2,95.8370394164442
2018,4,3,93.4643038776498
2018,5,1,91.2284815294411
2018,5,2,89.7613128052493
2018,5,3,89.7910197384854
2018,6,1,91.1725023674153
2018,6,2,92.8044682603075
2018,6,3,94.8167421976315
2018,7,1,98.2733630041769
2018,7,2,98.8351290730028
2018,7,3,99.6651135984608
2018,8,1,100.033799899189
2018,8,2,100.514129755002
2018,8,3,100.976273939518
2018,9,1,101.248021986392
2018,9,2,100.974032144418
2018,9,3,100.964144045055
2018,10,1,101.261748254797
2018,10,2,101.799504070401
2018,10,3,102.881530332622
2018,11,1,103.016227944193
2018,11,2,102.965782838351
2018,11,3,102.687551285682
2018,12,1,103.07485579395
2018,12,2,103.470573174221
2018,12,3,103.650284450896
2019,1,1,N/A,
2019,1,2,103.657364449469
2019,1,3,103.403370416979
2019,2,1,102.841454814339
2019,2,2,102.048459828262
2019,2,3,101.174219808299
2019,3,1,100.123409662736
2019,3,2,99.8449998299107
2019,3,3,99.5022789492393
2019,4,1,98.5923601903982
2019,4,2,96.6394631556636
2019,4,3,96.7785935944014
2019,5,1,97.4879626498855
2019,5,2,98.3496922328086
2019,5,3,99.2731704367077
2019,6,1,99.0121848319617
2019,6,2,98.6436655956493
2019,6,3,98.2452701858737
2019,7,1,98.6303560899101
2019,7,2,97.6503117260227
2019,7,3,98.179260456548
2019,8,1,97.971449344449
2019,8,2,98.0557107944204
2019,8,3,97.7743685015187
2019,9,1,97.8717737006461
2019,9,2,98.6330398733737
2019,9,3,99.4025236676084
2019,10,1,100.906820386687
2019,10,2,102.922861156996
2019,10,3,107.253628102867
2019,11,1,108.123590517025
2019,11,2,107.860746340612
2019,11,3,106.131138148021
2019,12,1,105.575359600531
2019,12,2,105.430573607558
2019,12,3,105.167540787288
2020,1,1,N/A,
2020,1,2,104.757499429499
2020,1,3,102.777061437667
2020,2,1,101.635797758545
2020,2,2,100.627973759393
2020,2,3,99.7401585472126
2020,3,1,98.1844833641264
2020,3,2,98.1073610261132
2020,3,3,98.5276195612886
2020,4,1,99.0154601252682
2020,4,2,99.0467343733221
2020,4,3,98.6210330451413
2020,5,1,97.0743591522989
2020,5,2,94.8244211996729
2020,5,3,91.1602506290706
2020,6,1,89.9157247722185
2020,6,2,88.3938348911048
2020,6,3,85.5115097170667
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,