"Year","Month","Dekad","NDVI Anomaly"
2016,1,1,104.26494454923
2016,1,1,100.051595327527
2016,1,2,101.255224971336
2016,1,3,99.2136360746226
2016,2,1,98.5030103599538
2016,2,2,98.6929161859409
2016,2,3,99.5515116251174
2016,3,1,101.26029191458
2016,3,2,101.843026794282
2016,3,3,102.1756342136
2016,4,1,102.294991660018
2016,4,2,101.731081287122
2016,4,3,101.071020711456
2016,5,1,101.192616796625
2016,5,2,102.560228159143
2016,5,3,107.523315707964
2016,6,1,108.875309279241
2016,6,2,109.115052526705
2016,6,3,109.069478994438
2016,7,1,108.901253066619
2016,7,2,108.522814958654
2016,7,3,107.927004440609
2016,8,1,105.688117434688
2016,8,2,104.483179720619
2016,8,3,103.648621770025
2016,9,1,103.315504172527
2016,9,2,103.704880191831
2016,9,3,103.578046963719
2016,10,1,102.360461622738
2016,10,2,100.842382783082
2016,10,3,98.7038695467863
2016,11,1,97.907852906038
2016,11,2,96.8736376343037
2016,11,3,96.2505788854899
2016,12,1,96.9888473329966
2016,12,2,98.0267616764929
2016,12,3,98.6815112325725
2017,1,1,100.285284773307
2017,1,2,101.221102709548
2017,1,3,102.431970192792
2017,2,1,102.269742987888
2017,2,2,101.7308131941
2017,2,3,100.978781191534
2017,3,1,99.2728093257937
2017,3,2,98.6592923140865
2017,3,3,98.2631304353031
2017,4,1,97.9846978747848
2017,4,2,98.6842191772073
2017,4,3,99.3990602036124
2017,5,1,100.311398606458
2017,5,2,101.597182476529
2017,5,3,105.22224530202
2017,6,1,106.510648923512
2017,6,2,107.122162460953
2017,6,3,107.320916041216
2017,7,1,105.658116604346
2017,7,2,104.131605917176
2017,7,3,102.62980997501
2017,8,1,99.7613965704793
2017,8,2,97.9442898160219
2017,8,3,96.0808806296528
2017,9,1,94.6530583280786
2017,9,2,93.4980978759055
2017,9,3,93.4467618176804
2017,10,1,93.0795887261835
2017,10,2,92.3796966397282
2017,10,3,89.3750916539439
2017,11,1,87.8252544850339
2017,11,2,87.0781852691863
2017,11,3,88.6001781690657
2017,12,1,89.8224328401481
2017,12,2,90.6988364132346
2017,12,3,91.2645161755533
2018,1,1,102.056036414038
2018,1,1,100.21062857765
2018,1,2,92.7718394024046
2018,1,3,94.0817432465624
2018,2,1,94.6561834740712
2018,2,2,95.6879068343492
2018,2,3,97.177763653756
2018,3,1,100.336772313074
2018,3,2,100.986820943817
2018,3,3,100.980013014967
2018,4,1,99.9042840258675
2018,4,2,95.8370394164442
2018,4,3,93.4643038776498
2018,5,1,91.2284815294411
2018,5,2,89.7613128052493
2018,5,3,89.7910197384854
2018,6,1,91.1725023674153
2018,6,2,92.8044682603075
2018,6,3,94.8167421976315
2018,7,1,98.2733630041769
2018,7,2,98.8351290730028
2018,7,3,99.6651135984608
2018,8,1,100.033799899189
2018,8,2,100.514129755002
2018,8,3,100.976273939518
2018,9,1,101.248021986392
2018,9,2,100.974032144418
2018,9,3,100.964144045055
2018,10,1,101.261748254797
2018,10,2,101.799504070401
2018,10,3,102.881530332622
2018,11,1,103.016227944193
2018,11,2,102.965782838351
2018,11,3,102.687551285682
2018,12,1,103.07485579395
2018,12,2,103.470573174221
2018,12,3,103.650284450896