"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2014,1,1,0.57,0.488
2014,1,2,0.744,0.448
2014,1,3,0.803,0.57
2014,2,1,1.05,1.075
2014,2,2,1.224,1.107
2014,2,3,0.731,0.49
2014,3,1,0.567,1.03
2014,3,2,0.443,1.296
2014,3,3,1.007,4.259
2014,4,1,5.129,9.604
2014,4,2,1.91,13.244
2014,4,3,7.336,12.256
2014,5,1,2.876,5.082
2014,5,2,10.744,3.94
2014,5,3,2.624,3.565
2014,6,1,0,0.037
2014,6,2,0,0
2014,6,3,0.821,0.642
2014,7,1,3.552,7.697
2014,7,2,2.239,12.276
2014,7,3,7.473,12.799
2014,8,1,10.473,20.154
2014,8,2,16.448,17.709
2014,8,3,12.433,16.152
2014,9,1,3.517,2.552
2014,9,2,0.968,0.48
2014,9,3,0.214,0.174
2014,10,1,0.973,0.109
2014,10,2,0.01,0.01
2014,10,3,0.04,0.027
2014,11,1,0.938,0.786
2014,11,2,3.366,1.107
2014,11,3,1.692,0.983
2014,12,1,1.179,0.863
2014,12,2,1.274,0.706
2014,12,3,1.48,0.928
2015,1,1,0.963,0.488
2015,1,2,0.659,0.448
2015,1,3,0.97,0.57
2015,2,1,0.891,1.075
2015,2,2,0.95,1.107
2015,2,3,0.47,0.49
2015,3,1,0.781,1.03
2015,3,2,0.689,1.296
2015,3,3,8.796,4.259
2015,4,1,3.438,9.604
2015,4,2,2.373,13.244
2015,4,3,2.493,12.256
2015,5,1,14.567,5.082
2015,5,2,2.769,3.94
2015,5,3,8.065,3.565
2015,6,1,0.182,0.037
2015,6,2,0,0
2015,6,3,0.983,0.642
2015,7,1,5.706,7.697
2015,7,2,4.915,12.276
2015,7,3,3.704,12.799
2015,8,1,32.933,20.154
2015,8,2,6.065,17.709
2015,8,3,9.821,16.152
2015,9,1,2.04,2.552
2015,9,2,1.888,0.48
2015,9,3,1.318,0.174
2015,10,1,0.336,0.109
2015,10,2,0.323,0.01
2015,10,3,0.015,0.027
2015,11,1,1.216,0.786
2015,11,2,2.04,1.107
2015,11,3,1.045,0.983
2015,12,1,1.577,0.863
2015,12,2,1.231,0.706
2015,12,3,1.296,0.928
2016,1,1,1.236,0.488
2016,1,2,0.831,0.448
2016,1,3,1.219,0.57
2016,2,1,1.746,1.075
2016,2,2,1.861,1.107
2016,2,3,2.781,0.49
2016,3,1,1.602,1.03
2016,3,2,1.264,1.296
2016,3,3,4.721,4.259
2016,4,1,6.905,9.604
2016,4,2,36.356,13.244
2016,4,3,25.816,12.256
2016,5,1,10.244,5.082
2016,5,2,4.007,3.94
2016,5,3,2.515,3.565
2016,6,1,0.396,0.037
2016,6,2,0,0
2016,6,3,1.199,0.642
2016,7,1,6.826,7.697
2016,7,2,11.483,12.276
2016,7,3,66.55,12.799
2016,8,1,72.555,20.154
2016,8,2,11.493,17.709
2016,8,3,7.672,16.152
2016,9,1,1.94,2.552
2016,9,2,0.659,0.48
2016,9,3,0.353,0.174
2016,10,1,0.177,0.109
2016,10,2,0.082,0.01
2016,10,3,0.015,0.027
2016,11,1,3.194,0.786
2016,11,2,1.649,1.107
2016,11,3,1.694,0.983
2016,12,1,1.164,0.863
2016,12,2,1.201,0.706
2016,12,3,1.51,0.928