"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2018,1,1,100,99.9900269272963,0,0
2018,1,2,100,100.009992006395,0,0
2018,1,3,100,100,0,0
2018,2,1,100,100,0,0
2018,2,2,100,100,0,0
2018,2,3,100,100,0,0
2018,3,1,100,100,0,0
2018,3,2,100.0099990001,100.0099990001,0.002,0.001
2018,3,3,100.019994001799,100.019994001799,0.003,0.002
2018,4,1,100.019994001799,100.019994001799,0,0
2018,4,2,100.139972005599,100.149955013496,0.013,0
2018,4,3,100.189035916824,100.20887209071,0.057,0.051
2018,5,1,108.264967708152,108.28025477707,2.335,1.407
2018,5,2,119.813183475091,119.922557133095,3.385,1.71
2018,5,3,113.940520446097,114.023712486106,2.67,3.023
2018,6,1,100.776247946059,105.682888540031,1.731,2.916
2018,6,2,139.241021467087,145.282109689855,12.971,3.719
2018,6,3,179.540856352451,170.808944426176,18.781,7.584
2018,7,1,168.546831763423,157.053738525978,18.549,14.474
2018,7,2,122.007786740187,133.285218097343,18.165,21.623
2018,7,3,91.1760116877775,116.831388950033,17.566,24.404
2018,8,1,114.494106518303,131.912032275928,46.257,24.316
2018,8,2,99.9049146523084,113.827162249607,13.384,28.57
2018,8,3,115.489112265139,116.382696681139,33.992,26.848
2018,9,1,109.677212264393,125.1178133836,28.045,12.466
2018,9,2,132.539247274971,117.12980777274,5.297,9.034
2018,9,3,133.652934946207,111.215526394985,4.61,4.378
2018,10,1,101.990540818425,112.099026713096,4.892,0.903
2018,10,2,128.294117647059,116.483843959755,0.127,0.019
2018,10,3,138.014638609332,125.851624307117,0.066,0.008
2018,11,1,101.655530068814,108.877106239022,0,0
2018,11,2,100.579536370903,136.717669976122,0,0
2018,11,3,100,144.090958487285,0,0
2018,12,1,100,102.670281817435,0,0
2018,12,2,100,128.658217925268,0,0
2018,12,3,100,138.014638609332,0,0
2019,1,1,100,101.655530068814,0,0
2019,1,2,100,100.579536370903,0,0
2019,1,3,100,100,0,0
2019,2,1,100,100,0,0
2019,2,2,100,100,0,0
2019,2,3,100,100,0,0
2019,3,1,100,100,0,0
2019,3,2,100.0099990001,100.0099990001,0.002,0.001
2019,3,3,100.019994001799,100.019994001799,0.003,0.002
2019,4,1,100.019994001799,100.019994001799,0,0
2019,4,2,100.0199960008,100.029991002699,0.001,0
2019,4,3,100.228832951945,100.248657250845,0.073,0.051
2019,5,1,112.139989526968,112.154262280778,2.775,1.407
2019,5,2,114.975698663426,114.995064915344,2.292,1.71
2019,5,3,146.39405204461,146.393726071384,8.561,3.023
2019,6,1,155.74820103122,158.775510204082,6.635,2.916
2019,6,2,141.062162987079,144.007359383214,2.534,3.719
2019,6,3,127.449523101697,146.560341992766,11.698,7.584
2019,7,1,108.578136791794,131.857677568844,14.614,14.474
2019,7,2,115.741137460181,127.807599200084,25.819,21.623
2019,7,3,103.215557226139,118.053048646269,22.335,24.404
2019,8,1,117.831049375801,123.937979590222,36.515,24.316
2019,8,2,140.89471875358,137.132454899061,54.137,28.57
2019,8,3,162.930438852609,139.758838337772,45.552,26.848
2019,9,1,150.170766781367,132.453276936162,7.27,12.466
2019,9,2,114.29012134092,129.269067973834,3.864,9.034
2019,9,3,62.121634427783,125.635245552571,1.154,4.378
2019,10,1,80.3701418877236,129.917190633805,4.524,0.903
2019,10,2,104.385620915033,131.720330925655,0.293,0.019
2019,10,3,136.111619396157,140.18036416056,0.06,0.008
2019,11,1,103.251221701406,137.546895669334,0,0
2019,11,2,100.519584332534,114.234321980646,0,0
2019,11,3,100,73.8018908932841,0,0
2019,12,1,100,81.7311642428724,0,0
2019,12,2,100,104.723020642801,0,0
2019,12,3,100,136.111619396157,0,0
2020,1,1,100,103.251221701406,0,0
2020,1,2,100,100.519584332534,0,0
2020,1,3,100,100,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100,100,0,0
2020,3,2,100.0199980002,100.0199980002,0.003,0.001
2020,3,3,100.049985004499,100.049985004499,0.005,0.002
2020,4,1,100.079976007198,100.079976007198,0.003,0
2020,4,2,100.0599880024,100.079976007198,0,0
2020,4,3,99.9801014824396,100.029838870101,0.046,0.051
2020,5,1,96.3431663466574,96.4139254864322,0.993,1.407
2020,5,2,94.1448967193196,94.2069698580214,1.358,1.71
2020,5,3,89.5353159851301,89.5887365690997,2.1,3.023
2020,6,1,98.997110317865,96.9230769230769,4.014,2.916
2020,6,2,101.002136534744,97.5118275801647,3.741,3.719
2020,6,3,92.4026590693257,88.3886879316015,4.624,7.584
2020,7,1,98.1692148587081,97.2128152571072,16.757,14.474
2020,7,2,124.10722602038,118.595035109086,35.241,21.623
2020,7,3,128.805265173544,118.46687211094,28.811,24.404
2020,8,1,156.268747744047,139.005352952034,51.499,24.316
2020,8,2,122.492839958758,123.303870467685,16.614,28.57
2020,8,3,127.230481199991,126.088146229341,36.056,26.848
2020,9,1,105.622464177495,128.121192616262,19.593,12.466
2020,9,2,126.377939260986,126.748978078174,8.09,9.034
2020,9,3,127.253470093093,130.957964488709,7.973,4.378
2020,10,1,121.698539995887,133.753122269936,3.528,0.903
2020,10,2,140.679738562092,129.267479317147,0.023,0.019
2020,10,3,124.053064958829,131.612637504076,0.008,0.008
2020,11,1,100.039892290815,110.473185435777,0,0
2020,11,2,100,133.955950735202,0,0
2020,11,3,100,133.707346229081,0,0
2020,12,1,100,121.690904609317,0,0
2020,12,2,100,140.658479226548,0,0