AdminStrata,Al-Hasakeh,Aleppo,As-Sweida,Damascus,Dar'a,Hama,Homs,Lattakia,Rural Damascus,Tartous
Indicator,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2018-08-31,35.85483,26.293100000000006,10.31519,13.68855,36.1552,18.111501549570207,19.62245,19.30116,24.935820749499364,20.38462
2018-09-01,35.85483,26.960300000000004,8.90208,13.81051,36.1552,17.727132627408558,19.13394,19.30116,24.850930249455462,20.78431
2018-09-02,35.51787000000001,27.64465,9.00901,14.37403,31.3093,18.535471069165663,20.16129,19.30116,24.970566211177484,21.38822
2018-09-03,34.914770000000004,29.331460000000003,7.98297,15.677970000000002,23.671842832620467,18.01217110147696,19.59361,20.82713,24.542424405365825,20.42936
2018-09-04,33.791149999999995,29.36425,8.90519,14.864100000000002,23.866021476001897,19.60366800760908,20.93625,22.359520000000003,24.092340285909323,18.2615
2018-09-05,33.638490000000004,27.95782,11.36364,15.523359999999995,21.907667870641642,19.61089855837032,20.889,22.16611,24.49880070270699,18.39588
2018-09-06,34.29564,28.188270000000003,11.534599999999998,14.81149,22.225422266118738,20.166929821709285,21.76039,20.99511,24.575194484023466,18.996420000000004
2018-09-07,34.25737999999999,27.74597,11.71079,15.507519999999996,22.34722149189529,18.175553696678246,20.155040000000003,22.34466,24.42161307937425,19.62963
2018-09-08,31.057320000000004,25.75119,11.01005,15.446910000000004,20.877588274073556,20.843577561960316,23.730419999999995,20.726860000000002,24.769854684533872,19.49963
2018-09-09,32.19697,25.69454,7.32218,13.73792,22.204376242758293,19.328236693215672,22.835629999999995,21.764029999999998,23.133291547547227,19.94146
2018-09-10,32.94821999999999,25.45265,6.59134,14.664010000000001,21.124776503820407,20.895091151478194,24.91103,22.44116,24.115117731391397,20.11896
2018-09-11,33.47197,27.744589999999995,6.30915,14.935990000000002,22.93767957346983,28.419357279226762,33.22785,21.33974,24.01056971867928,21.10998
2018-09-12,33.57171,28.29758,5.04819,13.934670000000002,23.66056289665131,31.079373486030725,36.3871,22.06296,24.711232447733877,21.344720000000002
2018-09-13,34.18124,28.774209999999997,5.30376,13.72896,22.45943155107885,30.44921806225221,35.586209999999994,21.91859,24.79334848672564,22.30483
2018-09-14,31.178360000000005,27.82055,5.76822,13.97516,23.084768778434587,30.288465457637106,35.24355,22.87582,24.606254308410445,18.06392
2018-09-15,30.183420000000005,27.054140000000004,8.36614,13.14181,24.59016,31.79791509955389,36.69986,22.37205,27.130744645502467,15.789470000000001
2018-09-16,29.700809999999997,28.22006,9.14077,11.93317,19.174111246523324,31.79791509955389,36.69986,23.35205,27.734812141317487,15.384619999999998
2018-09-17,29.81205,27.17209,11.40351,12.36698,17.69152279973619,31.79791509955389,36.69986,22.91183,26.729913712657446,14.90683
2018-09-18,31.532440000000005,28.20867,13.48504,12.320919999999996,18.432251331081428,31.858471310421137,36.69986,24.06336,25.806250479565158,14.079
2018-09-19,36.47532999999999,29.186419999999995,15.63786,12.395539999999999,26.981449999999995,32.11806827817227,36.69986,25.28523,26.418209028803364,11.91895
2018-09-20,36.207240000000006,29.610059999999997,16.7033,11.55989,17.78658682063132,32.11806827817227,36.69986,27.508090000000006,24.157822327807192,12.50521
2018-09-21,36.207240000000006,29.610059999999997,16.7033,11.55989,17.78658682063132,32.11806827817227,36.69986,27.508090000000006,24.157822327807192,12.50521
2018-09-22,36.207240000000006,29.388259999999995,16.06765,11.36364,17.78658682063132,32.11806827817227,36.69986,27.76025,24.157822327807192,11.367939999999999
2018-09-23,36.207240000000006,29.388259999999995,17.77778,11.21754,21.155729656635746,33.065293534049076,36.69986,28.338859999999997,24.64635597922668,13.622070000000004
2018-09-24,36.207240000000006,29.388259999999995,19.723870000000005,12.14128,22.559630391440734,33.22503862681564,36.69986,28.22229,24.44471239853392,13.34702
2018-09-25,36.83872,29.880680000000005,20.16868,15.299179999999998,22.63471426358432,32.647939176497665,36.33763,27.212679999999995,23.19342409606032,11.53107
2018-09-26,36.83872,30.655590000000004,20.306379999999997,13.613339999999999,22.28723047778736,32.33501709931074,36.33763,26.63116,21.333376486068502,11.605420000000002
2018-09-27,36.83872,30.023160000000004,20.41547,14.638699999999998,21.22800641229116,32.21038719014642,36.33763,26.63116,22.14332690745477,11.8538
2018-09-28,36.83872,30.96162,20.41547,14.963420000000001,21.22800641229116,32.40060864672902,36.33763,26.43052,20.539149286841198,12.14985
2018-09-29,36.83872,31.03759,20.562770000000004,15.20953,22.353070959111108,32.523840229683216,36.49425,27.09497,21.638800294038507,12.46537
2018-09-30,36.83872,31.487409999999997,20.47414,15.179299999999998,22.542392905116266,32.44540239180919,36.49425,26.074499999999997,22.56888935867259,12.94964
2018-10-01,36.49929,31.3969,19.32859,14.98994,21.74772985061841,32.071656262727856,36.114909999999995,28.304409999999997,22.21594623250597,12.45675
2018-10-02,36.37038,30.5206,17.543860000000002,17.55793,23.013941787386297,30.38619837257064,33.45281,27.55228,22.72397259049027,12.183689999999999
2018-10-03,38.25699,29.05111,17.543860000000002,17.390539999999998,22.325150148507657,29.43976209002693,32.34209,27.38095,22.49455179572807,12.723420000000004
2018-10-04,38.980509999999995,27.79853,19.78022,16.440120000000004,22.412077566045465,31.628473756106313,34.87491,26.24873,22.659060606997894,12.19925
2018-10-05,39.64926,27.039590000000004,19.8374,16.70711,22.96765216042364,32.436804971895036,36.2117,25.03954,22.97001179909871,12.47401
2018-10-06,42.50858000000001,28.967710000000004,17.027860000000004,16.75402,25.042268375947728,34.351859206449,38.52691,24.2169,23.373089815662986,12.409509999999996
2018-10-07,42.67126,27.9643,17.46988,17.33183,24.855773643386513,36.23367489859326,40.66346,24.617780000000003,23.275969368812827,14.118460000000002
2018-10-08,42.18691,30.11696,16.7147,18.089470000000002,25.41441617779255,36.154185461063264,41.261590000000005,24.026300000000006,22.487174477480465,13.83266
2018-10-09,42.1434,30.762059999999998,18.26347,18.72559,27.00429968094328,36.42325120112187,41.16537,25.177889999999998,22.233644687111425,16.965429999999998
2018-10-10,41.04755000000001,31.891600000000004,19.85185,19.46537,27.215423137094692,36.919765427321714,41.796409999999995,24.170060000000007,23.532582286141587,16.098779999999998
2018-10-11,40.59913,33.05278,23.277179999999998,19.20277,27.629835544993835,34.96832227855713,39.58838,22.501460000000005,23.02625260162187,15.599870000000001
