"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2015,1,1,4.167,4.071
2015,1,2,4.238,4.212
2015,1,3,3.769,3.705
2015,2,1,1.832,1.505
2015,2,2,1.289,0.904
2015,2,3,1.05,0.919
2015,3,1,2.088,1.977
2015,3,2,1.921,2.028
2015,3,3,5.142,2.198
2015,4,1,1.334,1.646
2015,4,2,1.343,2.038
2015,4,3,1.592,1.831
2015,5,1,0.712,0.734
2015,5,2,0.577,0.552
2015,5,3,0.981,0.695
2015,6,1,1.189,1.568
2015,6,2,2.525,1.822
2015,6,3,1.488,1.642
2015,7,1,2.445,2.734
2015,7,2,3.11,3.289
2015,7,3,2.99,3.146
2015,8,1,3.661,2.291
2015,8,2,1.78,1.844
2015,8,3,1.609,1.528
2015,9,1,0.002,0
2015,9,2,0,0
2015,9,3,0,0
2015,10,1,0.131,0.054
2015,10,2,0.245,0.143
2015,10,3,0.677,0.72
2015,11,1,3.558,1.614
2015,11,2,2.241,1.927
2015,11,3,2.445,2.132
2015,12,1,2.55,2.366
2015,12,2,2.76,2.573
2015,12,3,3.383,3.171
2016,1,1,4.39,4.071
2016,1,2,4.566,4.212
2016,1,3,4.108,3.705
2016,2,1,1.879,1.505
2016,2,2,1.373,0.904
2016,2,3,1.124,0.919
2016,3,1,2.136,1.977
2016,3,2,1.928,2.028
2016,3,3,1.667,2.198
2016,4,1,1.519,1.646
2016,4,2,3.989,2.038
2016,4,3,2.594,1.831
2016,5,1,0.796,0.734
2016,5,2,0.73,0.552
2016,5,3,0.95,0.695
2016,6,1,1.591,1.568
2016,6,2,2.164,1.822
2016,6,3,5.533,1.642
2016,7,1,2.888,2.734
2016,7,2,3.891,3.289
2016,7,3,3.928,3.146
2016,8,1,4.452,2.291
2016,8,2,2.344,1.844
2016,8,3,1.272,1.528
2016,9,1,0.01,0
2016,9,2,0,0
2016,9,3,0,0
2016,10,1,0.326,0.054
2016,10,2,0.228,0.143
2016,10,3,0.673,0.72
2016,11,1,1.736,1.614
2016,11,2,2.37,1.927
2016,11,3,2.414,2.132
2016,12,1,2.536,2.366
2016,12,2,2.851,2.573
2016,12,3,3.542,3.171
2017,1,1,4.446,4.071
2017,1,2,4.682,4.212
2017,1,3,4.243,3.705
2017,2,1,1.897,1.505
2017,2,2,1.332,0.904
2017,2,3,1.106,0.919
2017,3,1,2.668,1.977
2017,3,2,1.858,2.028
2017,3,3,1.817,2.198
2017,4,1,1.303,1.646
2017,4,2,1.303,2.038
2017,4,3,1.978,1.831
2017,5,1,3.289,0.734
2017,5,2,1.92,0.552
2017,5,3,1.15,0.695
2017,6,1,1.465,1.568
2017,6,2,1.409,1.822
2017,6,3,1.95,1.642
2017,7,1,3.045,2.734
2017,7,2,4.163,3.289
2017,7,3,2.534,3.146
2017,8,1,2.33,2.291
2017,8,2,1.826,1.844
2017,8,3,1.883,1.528
2017,9,1,0.005,0
2017,9,2,0,0
2017,9,3,0.009,0
2017,10,1,0.136,0.054
2017,10,2,0.271,0.143
2017,10,3,0.684,0.72
2017,11,1,1.67,1.614
2017,11,2,2.281,1.927
2017,11,3,2.449,2.132
2017,12,1,2.601,2.366
2017,12,2,2.884,2.573
2017,12,3,3.479,3.171