"Year","Month","Dekad","NDVI Anomaly"
2021,1,1,115.468006670224
2021,1,2,114.731051045491
2021,1,3,113.617125070334
2021,2,1,113.518006089264
2021,2,2,114.328151722733
2021,2,3,115.80807886288
2021,3,1,115.367007767078
2021,3,2,113.370911963941
2021,3,3,110.573328150635
2021,4,1,107.467997848386
2021,4,2,104.178216869209
2021,4,3,106.598897833434
2021,5,1,111.863379537282
2021,5,2,117.180808556851
2021,5,3,117.468259342624
2021,6,1,113.803827926497
2021,6,2,110.383916411097
2021,6,3,107.97928346876
2021,7,1,110.22669671271
2021,7,2,113.573329082727
2021,7,3,119.901589951325
2021,8,1,134.179144928518
2021,8,2,137.389775826909
2021,8,3,136.350107248018
2021,9,1,132.86888034015
2021,9,2,126.946933603296
2021,9,3,126.449400013792
2021,10,1,126.752746542788
2021,10,2,126.588324070722
2021,10,3,122.981710482683
2021,11,1,120.742041940975
2021,11,2,118.618460386506
2021,11,3,115.082524168818
2021,12,1,113.354722176822
2021,12,2,111.225668260634
2021,12,3,109.532236073945
2022,1,1,108.541514961124
2022,1,2,109.186906582982
2022,1,3,108.40191140886
2022,2,1,107.855490650181
2022,2,2,107.681713981467
2022,2,3,107.966280628051
2022,3,1,108.383612819576
2022,3,2,107.285401582758
2022,3,3,105.794995158132
2022,4,1,104.406093338184
2022,4,2,N/A,
2022,4,3,N/A,
2022,5,1,N/A,
2022,5,2,N/A,
2022,5,3,N/A,
2022,6,1,N/A,
2022,6,2,N/A,
2022,6,3,N/A,
2022,7,1,N/A,
2022,7,2,N/A,
2022,7,3,N/A,
2022,8,1,N/A,
2022,8,2,N/A,
2022,8,3,N/A,
2022,9,1,N/A,
2022,9,2,N/A,
2022,9,3,N/A,
2022,10,1,N/A,
2022,10,2,N/A,
2022,10,3,N/A,
2022,11,1,N/A,
2022,11,2,N/A,
2022,11,3,N/A,
2022,12,1,N/A,
2022,12,2,N/A,
2022,12,3,N/A,