"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,110.541873049941
2019,1,2,109.299847016548
2019,1,3,105.954890990352
2019,2,1,104.508205428094
2019,2,2,103.572078895459
2019,2,3,102.926993562071
2019,3,1,102.717575170547
2019,3,2,102.376819863698
2019,3,3,101.83739762525
2019,4,1,101.313678555342
2019,4,2,100.847892924919
2019,4,3,101.09860421731
2019,5,1,101.659973182404
2019,5,2,102.94403213507
2019,5,3,108.112038973387
2019,6,1,110.852580263456
2019,6,2,113.560800235414
2019,6,3,115.791546776158
2019,7,1,117.438049611389
2019,7,2,116.459821981226
2019,7,3,115.086118822876
2019,8,1,114.159099933534
2019,8,2,114.543278647322
2019,8,3,114.644941767362
2019,9,1,114.561215559878
2019,9,2,112.984245927451
2019,9,3,112.531649713211
2019,10,1,112.859998156658
2019,10,2,113.459330278786
2019,10,3,113.325186552612
2019,11,1,112.561318115395
2019,11,2,111.929279783242
2019,11,3,112.591893489425
2019,12,1,113.570658526836
2019,12,2,114.079613562109
2019,12,3,114.149268700557
2020,1,1,N/A,
2020,1,2,113.025424653867
2020,1,3,111.423050005744
2020,2,1,110.481446239547
2020,2,2,109.471367501371
2020,2,3,108.246989829938
2020,3,1,106.110851067774
2020,3,2,105.780012285263
2020,3,3,106.355788213447
2020,4,1,107.667661904076
2020,4,2,112.187413105416
2020,4,3,114.911399568296
2020,5,1,117.254017864208
2020,5,2,119.278894175519
2020,5,3,121.383939967117
2020,6,1,121.750777391816
2020,6,2,121.693868586367
2020,6,3,120.691377582361
2020,7,1,118.405315688398
2020,7,2,117.454304759844
2020,7,3,117.990005552471
2020,8,1,123.232731917079
2020,8,2,126.457874454406
2020,8,3,128.725450655501
2020,9,1,130.264853871348
2020,9,2,130.739236668505
2020,9,3,128.597831322422
2020,10,1,125.963054154762
2020,10,2,123.577254417155
2020,10,3,119.308628654134
2020,11,1,117.397938950788
2020,11,2,116.218984340089
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,