"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,98.7551878066611
2019,1,2,98.372911169745
2019,1,3,98.2115479454934
2019,2,1,98.3893509104463
2019,2,2,98.4357564743298
2019,2,3,98.7601893950813
2019,3,1,99.8621956821314
2019,3,2,100.17075862069
2019,3,3,100.762536105539
2019,4,1,101.349763148507
2019,4,2,102.162547694039
2019,4,3,102.294717289317
2019,5,1,102.565459868001
2019,5,2,102.737452396915
2019,5,3,103.773199204858
2019,6,1,104.266225547183
2019,6,2,103.340087801753
2019,6,3,101.920631990983
2019,7,1,99.1842998186152
2019,7,2,97.5033250209572
2019,7,3,96.7501943443297
2019,8,1,96.3021246458924
2019,8,2,96.262712996993
2019,8,3,95.4915333825812
2019,9,1,94.2066562944753
2019,9,2,90.0438749392633
2019,9,3,89.4469701706827
2019,10,1,89.5216253550105
2019,10,2,90.1031910163583
2019,10,3,93.1304851622114
2019,11,1,94.7988279773157
2019,11,2,96.0107450785572
2019,11,3,97.4975091874234
2019,12,1,97.7197346600332
2019,12,2,97.813025452178
2019,12,3,98.0043867120954
2020,1,1,N/A,
2020,1,2,98.6304749340369
2020,1,3,98.8502935967604
2020,2,1,98.9820643637293
2020,2,2,99.4288505224898
2020,2,3,99.856437212863
2020,3,1,101.588011024345
2020,3,2,102.495908045977
2020,3,3,103.175124692669
2020,4,1,103.594943849742
2020,4,2,102.600332192438
2020,4,3,101.801107691503
2020,5,1,101.49764261265
2020,5,2,101.581636008443
2020,5,3,100.750580069675
2020,6,1,100.382252585819
2020,6,2,100.828214415721
2020,6,3,102.39577760768
2020,7,1,104.223812301763
2020,7,2,104.612501232469
2020,7,3,104.251064438212
2020,8,1,101.193838526912
2020,8,2,99.0692616104243
2020,8,3,97.1549200422742
2020,9,1,94.9522138325083
2020,9,2,91.9060762004194
2020,9,3,91.3911969858032
2020,10,1,91.945273524558
2020,10,2,92.7820624023038
2020,10,3,93.8262325327138
2020,11,1,93.7510018903592
2020,11,2,93.812440732565
2020,11,3,95.2983666802777
2020,12,1,96.6121890547264
2020,12,2,97.7469535865121
2020,12,3,N/A,
2021,1,1,N/A,
2021,1,2,N/A,
2021,1,3,N/A,
2021,2,1,N/A,
2021,2,2,N/A,
2021,2,3,N/A,
2021,3,1,N/A,
2021,3,2,N/A,
2021,3,3,N/A,
2021,4,1,N/A,
2021,4,2,N/A,
2021,4,3,N/A,
2021,5,1,N/A,
2021,5,2,N/A,
2021,5,3,N/A,
2021,6,1,N/A,
2021,6,2,N/A,
2021,6,3,N/A,
2021,7,1,N/A,
2021,7,2,N/A,
2021,7,3,N/A,
2021,8,1,N/A,
2021,8,2,N/A,
2021,8,3,N/A,
2021,9,1,N/A,
2021,9,2,N/A,
2021,9,3,N/A,
2021,10,1,N/A,
2021,10,2,N/A,
2021,10,3,N/A,
2021,11,1,N/A,
2021,11,2,N/A,
2021,11,3,N/A,
2021,12,1,N/A,
2021,12,2,N/A,
2021,12,3,N/A,