"Year","Month","Dekad","NDVI","Average"
2015,1,1,0.2099282,0.2349141
2015,1,1,0.2744128,0.2349141
2016,1,1,0.2057487,0.2349141
2017,1,1,0.2464526,0.2349141
2017,1,1,0.2586128,0.2349141
2017,1,2,0.2396859,0.2297833
2016,1,2,0.2747897,0.2297833
2015,1,2,0.2515333,0.2297833
2015,1,3,0.2371013,0.2173718
2016,1,3,0.2461577,0.2173718
2017,1,3,0.2223603,0.2173718
2017,2,1,0.2151308,0.210441
2016,2,1,0.2317705,0.210441
2015,2,1,0.2323974,0.210441
2015,2,2,0.2262846,0.2032051
2016,2,2,0.2200026,0.2032051
2017,2,2,0.2117192,0.2032051
2017,2,3,0.2113397,0.1962705
2016,2,3,0.2093103,0.1962705
2015,2,3,0.2164321,0.1962705
2015,3,1,0.1942013,0.1863564
2016,3,1,0.1928115,0.1863564
2017,3,1,0.2083115,0.1863564
2017,3,2,0.2049269,0.1852346
2016,3,2,0.1856282,0.1852346
2015,3,2,0.1898167,0.1852346
2015,3,3,0.1914962,0.1870782
2016,3,3,0.1826859,0.1870782
2017,3,3,0.2014436,0.1870782
2017,4,1,0.2015205,0.1931731
2016,4,1,0.1874051,0.1931731
2015,4,1,0.1959462,0.1931731
2015,4,2,0.1962026,0.2170705
2016,4,2,0.2300551,0.2170705
2017,4,2,0.2140256,0.2170705
2017,4,3,0.2304961,0.2323154
2016,4,3,0.263059,0.2323154
2015,4,3,0.2017462,0.2323154
2015,5,1,0.2175821,0.2466564
2016,5,1,0.2950064,0.2466564
2017,5,1,0.2582282,0.2466564
2017,5,2,0.2943615,0.2591615
2016,5,2,0.3211039,0.2591615
2015,5,2,0.24115,0.2591615
2015,5,3,0.2834949,0.271441
2016,5,3,0.3302205,0.271441
2017,5,3,0.3522218,0.271441
2017,6,1,0.3533385,0.2704064
2016,6,1,0.3185885,0.2704064
2015,6,1,0.2963987,0.2704064
2015,6,2,0.2946308,0.2651974
2016,6,2,0.299959,0.2651974
2017,6,2,0.3379256,0.2651974
2017,6,3,0.3147282,0.2584436
2016,6,3,0.2768641,0.2584436
2015,6,3,0.2865295,0.2584436
2015,7,1,0.270191,0.2432718
2016,7,1,0.2410885,0.2432718
2017,7,1,0.2666872,0.2432718
2017,7,2,0.2497513,0.2459372
2016,7,2,0.2500718,0.2459372
2015,7,2,0.2655551,0.2459372
2015,7,3,0.2631731,0.2555846
2016,7,3,0.2802064,0.2555846
2017,7,3,0.2458551,0.2555846
2017,8,1,0.2869923,0.2918231
2016,8,1,0.3738231,0.2918231
2015,8,1,0.2867705,0.2918231
2015,8,2,0.3130744,0.314759
2016,8,2,0.4112718,0.314759
2017,8,2,0.3244295,0.314759
2017,8,3,0.3598167,0.3358795
2016,8,3,0.4384449,0.3358795
2015,8,3,0.3422115,0.3358795
2015,9,1,0.3632192,0.349991
2016,9,1,0.4522154,0.349991
2017,9,1,0.3822385,0.349991
2017,9,2,0.3834641,0.351559
2016,9,2,0.4259385,0.351559
2015,9,2,0.368059,0.351559
2015,9,3,0.3466372,0.3401244
2016,9,3,0.4006872,0.3401244
2017,9,3,0.3678744,0.3401244
2017,10,1,0.3463923,0.3241846
2016,10,1,0.373009,0.3241846
2015,10,1,0.3214564,0.3241846
2015,10,2,0.3014679,0.3076128
2016,10,2,0.3482372,0.3076128
2017,10,2,0.3241423,0.3076128
2017,10,3,0.2857077,0.2812333
2016,10,3,0.3136821,0.2812333
2015,10,3,0.2853039,0.2812333
2015,11,1,0.2826526,0.271691
2016,11,1,0.3026115,0.271691
2017,11,1,0.2735692,0.271691
2017,11,2,0.2635,0.2645013
2016,11,2,0.2940487,0.2645013
2015,11,2,0.2811269,0.2645013
2015,11,3,0.2779961,0.2543564
2016,11,3,0.2769795,0.2543564
2017,11,3,0.2447859,0.2543564
2017,12,1,0.2380564,0.2506923
2016,12,1,0.2687872,0.2506923
2015,12,1,0.2780205,0.2506923
2015,12,2,0.2819013,0.247491
2016,12,2,0.2626103,0.247491
2017,12,2,0.2318961,0.247491
2017,12,3,0.2274564,0.2440308
2016,12,3,0.257159,0.2440308
2015,12,3,0.2871295,0.2440308