"Year","Month","Dekad","NDVI","Average"
2014,1,1,0.1106641,0.1209048
2015,1,1,0.1153536,0.1209048
2015,1,1,0.1350738,0.1209048
2016,1,1,0.1078843,0.1209048
2016,1,2,0.1213952,0.1196086
2015,1,2,0.1326183,0.1196086
2014,1,2,0.1221224,0.1196086
2014,1,3,0.1209848,0.1168717
2015,1,3,0.1257674,0.1168717
2016,1,3,0.1188374,0.1168717
2016,2,1,0.117055,0.115165
2015,2,1,0.1227119,0.115165
2014,2,1,0.1200874,0.115165
2014,2,2,0.1186945,0.1132886
2015,2,2,0.1197219,0.1132886
2016,2,2,0.115499,0.1132886
2016,2,3,0.1141595,0.11134
2015,2,3,0.1169038,0.11134
2014,2,3,0.1163412,0.11134
2014,3,1,0.1114679,0.1075598
2015,3,1,0.1108262,0.1075598
2016,3,1,0.1100607,0.1075598
2016,3,2,0.1070555,0.1061248
2015,3,2,0.1086593,0.1061248
2014,3,2,0.1097643,0.1061248
2014,3,3,0.1084859,0.1051143
2015,3,3,0.1076552,0.1051143
2016,3,3,0.1044845,0.1051143
2016,4,1,0.1034343,0.1046224
2015,4,1,0.1071957,0.1046224
2014,4,1,0.10779,0.1046224
2014,4,2,0.1069959,0.1047993
2015,4,2,0.1033969,0.1047993
2016,4,2,0.1087157,0.1047993
2016,4,3,0.1143041,0.1055317
2015,4,3,0.1013645,0.1055317
2014,4,3,0.1071859,0.1055317
2014,5,1,0.10765,0.1063962
2015,5,1,0.100879,0.1063962
2016,5,1,0.1197874,0.1063962
2016,5,2,0.1243133,0.107291
2015,5,2,0.1021586,0.107291
2014,5,2,0.1083074,0.107291
2014,5,3,0.1099917,0.108124
2015,5,3,0.1077109,0.108124
2016,5,3,0.1259719,0.108124
2016,6,1,0.1234786,0.1078143
2015,6,1,0.1107852,0.1078143
2014,6,1,0.110184,0.1078143
2014,6,2,0.1088979,0.1070702
2015,6,2,0.1131917,0.1070702
2016,6,2,0.1193631,0.1070702
2016,6,3,0.1146629,0.1060438
2015,6,3,0.1141462,0.1060438
2014,6,3,0.1064788,0.1060438
2014,7,1,0.1009643,0.1042698
2015,7,1,0.112999,0.1042698
2016,7,1,0.1083402,0.1042698
2016,7,2,0.1089514,0.104335
2015,7,2,0.1116343,0.104335
2014,7,2,0.0990674,0.104335
2014,7,3,0.0986802,0.1052864
2015,7,3,0.1099321,0.1052864
2016,7,3,0.1122257,0.1052864
2016,8,1,0.1236771,0.1100555
2015,8,1,0.1094107,0.1100555
2014,8,1,0.1027864,0.1100555
2014,8,2,0.1073095,0.1137024
2015,8,2,0.1115498,0.1137024
2016,8,2,0.12863,0.1137024
2016,8,3,0.1322683,0.1179874
2015,8,3,0.1149902,0.1179874
2014,8,3,0.1140533,0.1179874
2014,9,1,0.1227662,0.1224429
2015,9,1,0.1192181,0.1224429
2016,9,1,0.134949,0.1224429
2016,9,2,0.1375876,0.1302121
2015,9,2,0.1278024,0.1302121
2014,9,2,0.1413057,0.1302121
2014,9,3,0.1474193,0.1325952
2015,9,3,0.1296679,0.1325952
2016,9,3,0.1377805,0.1325952
2016,10,1,0.1374391,0.1339345
2015,10,1,0.1299819,0.1339345
2014,10,1,0.1518298,0.1339345
2014,10,2,0.1548983,0.1340757
2015,10,2,0.1294086,0.1340757
2016,10,2,0.1363895,0.1340757
2016,10,3,0.1330712,0.1319719
2015,10,3,0.1276833,0.1319719
2014,10,3,0.1558919,0.1319719
2014,11,1,0.1539007,0.1304709
2015,11,1,0.1272514,0.1304709
2016,11,1,0.1310562,0.1304709
2016,11,2,0.1290076,0.1290014
2015,11,2,0.1274207,0.1290014
2014,11,2,0.1513764,0.1290014
2014,11,3,0.1469245,0.1266783
2015,11,3,0.1284298,0.1266783
2016,11,3,0.1252464,0.1266783
2016,12,1,0.1236002,0.1257502
2015,12,1,0.1285629,0.1257502
2014,12,1,0.1453141,0.1257502
2014,12,2,0.1440671,0.1247664
2015,12,2,0.1275791,0.1247664
2016,12,2,0.1219893,0.1247664
2016,12,3,0.120431,0.123695
2015,12,3,0.1261486,0.123695
2014,12,3,0.1426514,0.123695