"Year","Month","Dekad","NDVI","Average"
2015,1,1,0.1648757,0.1782382
2015,1,1,0.1914329,0.1782382
2016,1,1,0.1484807,0.1782382
2017,1,1,0.1793314,0.1782382
2017,1,1,0.1988571,0.1782382
2017,1,2,0.1873871,0.1746839
2016,1,2,0.1993739,0.1746839
2015,1,2,0.1930336,0.1746839
2015,1,3,0.182655,0.1664686
2016,1,3,0.1846143,0.1664686
2017,1,3,0.1775179,0.1664686
2017,2,1,0.1734157,0.1618811
2016,2,1,0.1770125,0.1618811
2015,2,1,0.1791371,0.1618811
2015,2,2,0.1738861,0.1571621
2016,2,2,0.1703875,0.1571621
2017,2,2,0.1718193,0.1571621
2017,2,3,0.1720582,0.1525186
2016,2,3,0.1634982,0.1525186
2015,2,3,0.1662754,0.1525186
2015,3,1,0.1524482,0.1449768
2016,3,1,0.1509493,0.1449768
2017,3,1,0.1705714,0.1449768
2017,3,2,0.1678339,0.1430175
2016,3,2,0.1446232,0.1430175
2015,3,2,0.1502443,0.1430175
2015,3,3,0.1506168,0.1421779
2016,3,3,0.1399546,0.1421779
2017,3,3,0.1633389,0.1421779
2017,4,1,0.1597779,0.1429714
2016,4,1,0.1391271,0.1429714
2015,4,1,0.150905,0.1429714
2015,4,2,0.1425339,0.1495636
2016,4,2,0.1534864,0.1495636
2017,4,2,0.1565368,0.1495636
2017,4,3,0.1581775,0.1549418
2016,4,3,0.1664054,0.1549418
2015,4,3,0.1411618,0.1549418
2015,5,1,0.1451168,0.1602057
2016,5,1,0.1792143,0.1602057
2017,5,1,0.1654586,0.1602057
2017,5,2,0.1784711,0.1647332
2016,5,2,0.1902493,0.1647332
2015,5,2,0.1535564,0.1647332
2015,5,3,0.1720289,0.1688518
2016,5,3,0.1970575,0.1688518
2017,5,3,0.2081053,0.1688518
2017,6,1,0.2127164,0.1683532
2016,6,1,0.1928357,0.1683532
2015,6,1,0.1784279,0.1683532
2015,6,2,0.1792843,0.1660861
2016,6,2,0.1855839,0.1660861
2017,6,2,0.2080489,0.1660861
2017,6,3,0.1973757,0.1629314
2016,6,3,0.1749907,0.1629314
2015,6,3,0.1776029,0.1629314
2015,7,1,0.1712336,0.1549743
2016,7,1,0.1585468,0.1549743
2017,7,1,0.1676214,0.1549743
2017,7,2,0.1550946,0.1538925
2016,7,2,0.1646454,0.1538925
2015,7,2,0.1659989,0.1538925
2015,7,3,0.1619925,0.1557107
2016,7,3,0.1816486,0.1557107
2017,7,3,0.1493579,0.1557107
2017,8,1,0.1639229,0.1684332
2016,8,1,0.23078,0.1684332
2015,8,1,0.1663521,0.1684332
2015,8,2,0.1758646,0.1780693
2016,8,2,0.2477264,0.1780693
2017,8,2,0.1801779,0.1780693
2017,8,3,0.1969289,0.1881396
2016,8,3,0.2593925,0.1881396
2015,8,3,0.1886564,0.1881396
2015,9,1,0.2005404,0.19695
2016,9,1,0.2659954,0.19695
2017,9,1,0.2093021,0.19695
2017,9,2,0.2180496,0.2082086
2016,9,2,0.2611896,0.2082086
2015,9,2,0.2136007,0.2082086
2015,9,3,0.2103189,0.2095643
2016,9,3,0.2539989,0.2095643
2017,9,3,0.2161954,0.2095643
2017,10,1,0.2123746,0.2084886
2016,10,1,0.2459411,0.2084886
2015,10,1,0.2039293,0.2084886
2015,10,2,0.1982771,0.2060293
2016,10,2,0.2383861,0.2060293
2017,10,2,0.2080246,0.2060293
2017,10,3,0.2004,0.2005971
2016,10,3,0.2264011,0.2005971
2015,10,3,0.1962804,0.2005971
2015,11,1,0.1988679,0.1978054
2016,11,1,0.2221379,0.1978054
2017,11,1,0.1983054,0.1978054
2017,11,2,0.1958593,0.1952018
2016,11,2,0.2175264,0.1952018
2015,11,2,0.2016629,0.1952018
2015,11,3,0.2035532,0.1902993
2016,11,3,0.2071046,0.1902993
2017,11,3,0.1880829,0.1902993
2017,12,1,0.1840536,0.1880057
2016,12,1,0.2025189,0.1880057
2015,12,1,0.2035368,0.1880057
2015,12,2,0.2046657,0.1859521
2016,12,2,0.1993596,0.1859521
2017,12,2,0.1797193,0.1859521
2017,12,3,0.1755382,0.1838979
2016,12,3,0.1969607,0.1838979
2015,12,3,0.2065418,0.1838979