"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,100,91.014632436695,0,0
2019,1,2,100,92.8436530419533,0,0
2019,1,3,100,100,0,0
2019,2,1,100,100,0,0
2019,2,2,100,100,0,0
2019,2,3,100,100,0,0
2019,3,1,105.92,105.92,0.592,0
2019,3,2,112.346407156198,112.346407156198,0.837,0.173
2019,3,3,132.011078352542,132.011078352542,3.347,1.02
2019,4,1,105.545851528384,109.238927011853,2.735,4.837
2019,4,2,103.334363821048,108.813990182328,7.316,6.786
2019,4,3,102.080412896648,113.001442558546,11.99,9.765
2019,5,1,137.452934094926,135.728073484058,24.357,12.49
2019,5,2,137.842997867371,133.267795845353,21.52,16.98
2019,5,3,144.896963209017,138.042089614643,36.163,24.051
2019,6,1,109.776383965094,120.215128083287,20.878,29.643
2019,6,2,95.8519622454049,111.187611249555,17.857,24.878
2019,6,3,90.4153127538586,111.380768099476,40.306,33.959
2019,7,1,146.407308237518,135.923597785571,117.745,58.143
2019,7,2,143.345172388189,130.42348587605,63.612,59.51
2019,7,3,157.257382245915,138.859009801458,117.204,68.561
2019,8,1,119.649521258268,127.254486113051,55.735,67.99
2019,8,2,104.697324565354,116.984812164421,49.51,75.469
2019,8,3,83.1337006459636,112.610856314415,77.286,78.133
2019,9,1,84.8869105913697,112.650570493292,46.092,51.847
2019,9,2,94.846427909916,112.978943482567,40.724,43.582
2019,9,3,92.8462633451957,111.532793731967,33.633,35.071
2019,10,1,122.64690813831,106.209811093574,42.52,14.796
2019,10,2,178.27515581947,111.929015170394,34.837,8
2019,10,3,243.695774046291,101.210367833737,3.929,4.663
2019,11,1,213.778147726277,105.233678556775,0.031,0.163
2019,11,2,94.1589100229327,117.379139509858,0,0
2019,11,3,98.7011709141002,125.959719727341,0,0
2019,12,1,100,142.484626961944,0,0
2019,12,2,100,171.887251867443,0,0
2019,12,3,100,242.722343309766,0,0
2020,1,1,100,213.778147726277,0,0
2020,1,2,100,94.1589100229327,0,0
2020,1,3,100,98.7011709141002,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100.31,100.31,0.031,0
2020,3,2,100.914184606311,100.914184606311,0.235,0.173
2020,3,3,108.308764406325,108.308764406325,1.857,1.02
2020,4,1,97.5233936369307,97.7167810355583,3.541,4.837
2020,4,2,100,100.407608695652,7.245,6.786
2020,4,3,79.3902128201861,82.9992940670943,4.133,9.765
2020,5,1,77.1829615020107,79.4235761354307,8.755,12.49
2020,5,2,63.9382553061846,71.536316900614,8.592,16.98
2020,5,3,57.381023598495,62.12515388725,9.102,24.051
2020,6,1,97.4700647048615,90.1974167350641,50.939,29.643
2020,6,2,107.430113354107,92.0441438234247,25.112,24.878
2020,6,3,97.678716490658,79.3372128566403,10.143,33.959
2020,7,1,74.8306819971649,81.0719248329253,49.765,58.143
2020,7,2,109.389154270722,101.431541877968,106.878,59.51
2020,7,3,136.944356671797,112.752834735302,102.061,68.561
2020,8,1,126.339773173963,105.149664097126,41.398,67.99
2020,8,2,98.901450319791,104.271523471707,66.122,75.469
2020,8,3,111.979688417562,119.346377344031,141.816,78.133
2020,9,1,156.530779906149,127.268444057598,119.306,51.847
2020,9,2,161.681066887482,123.018892751017,25.663,43.582
2020,9,3,136.022775800712,127.511280197554,36.143,35.071
2020,10,1,101.578555616777,135.191768044534,33.276,14.796
2020,10,2,125.261172587561,128.212213501408,5.592,8
2020,10,3,133.452574815131,123.331219788937,1.122,4.663
2020,11,1,73.2673267326733,136.467904166304,0.01,0.163
2020,11,2,75.0843113449346,151.439767720452,0,0
2020,11,3,98.4945390140707,137.466839556988,0,0
2020,12,1,100,96.1565254783917,0,0
2020,12,2,100,118.502469288652,0,0
2020,12,3,100,132.900962202966,0,0
2021,1,1,100,73.2673267326733,0,0
2021,1,2,100,75.0843113449346,0,0
2021,1,3,100,98.4945390140707,0,0
2021,2,1,100,100,0,0