"Year","Month","Dekad","NDVI Anomaly"
2017,1,1,98.8119267156922
2017,1,2,99.0343685656079
2017,1,3,98.7171003245954
2017,2,1,98.2652354880769
2017,2,2,97.8201259136726
2017,2,3,97.4776550198349
2017,3,1,97.2129637888646
2017,3,2,97.3348536319803
2017,3,3,97.6050084097509
2017,4,1,98.0226607037515
2017,4,2,99.1706215928887
2017,4,3,99.8077410819927
2017,5,1,100.400943054716
2017,5,2,100.86617201563
2017,5,3,101.358975580881
2017,6,1,101.496928029656
2017,6,2,101.602692558022
2017,6,3,101.659400013015
2017,7,1,101.547907440729
2017,7,2,101.424228764003
2017,7,3,101.246272581194
2017,8,1,100.74280554603
2017,8,2,100.486268721087
2017,8,3,100.262343717032
2017,9,1,100.069714503474
2017,9,2,99.7415970264489
2017,9,3,99.6212289878999
2017,10,1,99.5491779300373
2017,10,2,99.5423559407721
2017,10,3,99.802820265614
2017,11,1,100.032350794815
2017,11,2,100.251301733026
2017,11,3,100.400552499752
2017,12,1,100.256060071638
2017,12,2,99.9459967143507
2017,12,3,99.580796867285
2018,1,2,99.1087176656754
2018,1,3,99.5160399388846
2018,2,1,100.003454686666
2018,2,2,100.7028773715
2018,2,3,101.552015812917
2018,3,1,103.301012240226
2018,3,2,103.936450588241
2018,3,3,104.186351842044
2018,4,1,103.920053971785
2018,4,2,102.637062975938
2018,4,3,101.877257389251
2018,5,1,101.241213162222
2018,5,2,100.713093617831
2018,5,3,100.334923916682
2018,6,1,100.303123590126
2018,6,2,100.256572541991
2018,6,3,100.201199068586
2018,7,1,100.036383715505
2018,7,2,99.9710649743202
2018,7,3,99.8059145421438
2018,8,1,99.8103097472609
2018,8,2,99.8972917035857
2018,8,3,100.040996123747
2018,9,1,100.174421233522
2018,9,2,100.276997252805
2018,9,3,100.287917956266
2018,10,1,100.334499544416
2018,10,2,100.401107805284
2018,10,3,100.540426238882
2018,11,1,100.677052580794
2018,11,2,100.806681761593
2018,11,3,101.210765986992
2018,12,1,101.532384185939
2018,12,2,101.841131988986
2018,12,3,102.034173996914
2019,1,1,101.205436957171
2019,1,2,101.943261409985
2019,1,3,101.697460832443
2019,2,1,101.629289942469
2019,2,2,101.610263940746
2019,2,3,101.671000042945
2019,3,1,101.986592024554
2019,3,2,102.110485508337
2019,3,3,102.174243007628
2019,4,1,102.190479063787
2019,4,2,102.100325331321
2019,4,3,101.971311504091
2019,5,1,101.77724795042
2019,5,2,101.57153854034
2019,5,3,101.279834920759
2019,6,1,101.191351244774
2019,6,2,101.113283159804
2019,6,3,101.039449299883
2019,7,1,100.892437346228
2019,7,1,100.88552106099
2019,7,2,100.876848278203
2019,7,3,100.893400150142
2019,8,1,100.937057713389
2019,8,2,100.959805658823
2019,8,3,100.94328180097
2019,9,1,100.916265435216
2019,9,2,100.832784657385
2019,9,3,100.794091194814
2019,10,1,100.947225244585
2019,10,2,101.168681717636
2019,10,3,101.8441132051
2019,11,1,102.207217125725
2019,11,2,102.566883779138
2019,11,3,103.087139011727
2019,12,1,103.351183365302
2019,12,2,103.673109355369
2019,12,3,103.948477988877