"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2017,1,1,0,0
2017,1,2,0,0
2017,1,3,0,0
2017,2,1,0.457,0.064
2017,2,2,0.088,0.649
2017,2,3,0.51,0.68
2017,3,1,1.556,3.77
2017,3,2,2.824,6.384
2017,3,3,6.404,8.91
2017,4,1,25.58,14.795
2017,4,2,3.336,19.084
2017,4,3,42.872,21.437
2017,5,1,23.706,31.711
2017,5,2,40.356,31.605
2017,5,3,52.724,38.885
2017,6,1,30.839,45.733
2017,6,2,65.172,37.033
2017,6,3,60.784,42.42
2017,7,1,34.782,56.466
2017,7,2,26.819,56.046
2017,7,3,52.901,62.654
2017,8,1,47.042,71.66
2017,8,2,41.119,76.885
2017,8,3,82.929,91.887
2017,9,1,26.974,67.461
2017,9,2,41.316,66.931
2017,9,3,55.029,58.239
2017,10,1,23.431,33.812
2017,10,2,7.991,21.967
2017,10,3,1.824,20.13
2017,11,1,3.669,4.949
2017,11,2,1.631,1.81
2017,11,3,0.748,0.887
2017,12,1,0.614,0.355
2017,12,2,0.066,0.018
2017,12,3,0.172,0
2018,1,1,0,0
2018,1,2,0,0
2018,1,3,0,0
2018,2,1,1.574,0.064
2018,2,2,2.536,0.649
2018,2,3,15.984,0.68
2018,3,1,3.371,3.77
2018,3,2,29.567,6.384
2018,3,3,23.024,8.91
2018,4,1,16.406,14.795
2018,4,2,10.927,19.084
2018,4,3,16.574,21.437
2018,5,1,24.095,31.711
2018,5,2,28.733,31.605
2018,5,3,30.388,38.885
2018,6,1,24.676,45.733
2018,6,2,42.956,37.033
2018,6,3,63.916,42.42
2018,7,1,39.863,56.466
2018,7,2,57.113,56.046
2018,7,3,95.883,62.654
2018,8,1,54.399,71.66
2018,8,2,73.744,76.885
2018,8,3,140.463,91.887
2018,9,1,94.221,67.461
2018,9,2,64.353,66.931
2018,9,3,113.079,58.239
2018,10,1,43.426,33.812
2018,10,2,33.991,21.967
2018,10,3,23.203,20.13
2018,11,1,3.099,4.949
2018,11,2,4.329,1.81
2018,11,3,0.729,0.887
2018,12,1,0.609,0.355
2018,12,2,0.068,0.018
2018,12,3,0.027,0
2019,1,1,0.004,0
2019,1,2,0.016,0
2019,1,3,0.016,0
2019,2,1,1.603,0.064
2019,2,2,1.814,0.649
2019,2,3,1.634,0.68
2019,3,1,2.243,3.77
2019,3,2,4.589,6.384
2019,3,3,10.214,8.91
2019,4,1,9.201,14.795
2019,4,2,10.548,19.084
2019,4,3,19.963,21.437
2019,5,1,42.777,31.711
2019,5,2,41.362,31.605
2019,5,3,57.512,38.885
2019,6,1,44.83,45.733
2019,6,2,25.91,37.033
2019,6,3,56.644,42.42
2019,7,1,62.303,56.466
2019,7,2,80.941,56.046
2019,7,3,94.742,62.654
2019,8,1,73.154,71.66
2019,8,2,70.044,76.885
2019,8,3,79.64,91.887
2019,9,1,102.62,67.461
2019,9,2,96.711,66.931
2019,9,3,39.079,58.239
2019,10,1,74.799,33.812
2019,10,2,35.495,21.967
2019,10,3,24.691,20.13
2019,11,1,1.676,4.949
2019,11,2,0.912,1.81
2019,11,3,1.433,0.887
2019,12,1,0.761,0.355
2019,12,2,0.199,0.018
2019,12,3,0.088,0