"Year","Month","Dekad","NDVI Anomaly"
2018,1,1,97.7667840324824
2018,1,2,97.8773036596617
2018,1,3,97.6338428170057
2018,2,1,97.6348953000623
2018,2,2,98.2000308412626
2018,2,3,98.7929346664923
2018,3,1,98.1656231229376
2018,3,2,97.3156823616265
2018,3,3,96.6051599447065
2018,4,1,96.136110001999
2018,4,2,95.3243550786398
2018,4,3,94.9970035225423
2018,5,1,94.7189958703674
2018,5,2,94.4893876005077
2018,5,3,94.8108245148112
2018,6,1,95.4289069632576
2018,6,2,95.9273573352927
2018,6,3,95.6999109113305
2018,7,1,94.3170556986194
2018,7,2,92.9697521205922
2018,7,3,92.138314447662
2018,8,1,92.3759975202543
2018,8,2,93.5962606271821
2018,8,3,95.7057927969765
2018,9,1,98.1913071820692
2018,9,2,102.037439280354
2018,9,3,102.357276782239
2018,10,1,102.670071975853
2018,10,2,103.808265200306
2018,10,3,108.998704323026
2018,11,1,112.132358867865
2018,11,2,114.54978255083
2018,11,3,114.372669866077
2018,12,1,112.250652012437
2018,12,2,110.169721677122
2018,12,3,108.25604263083
2019,1,1,N/A,
2019,1,2,103.805831431917
2019,1,3,102.663333765416
2019,2,1,102.300007125907
2019,2,2,101.842201270939
2019,2,3,101.564518984814
2019,3,1,101.408381087055
2019,3,2,100.851471927033
2019,3,3,100.159133127592
2019,4,1,99.4753214836439
2019,4,2,98.856499883363
2019,4,3,99.4128597952432
2019,5,1,100.715490251555
2019,5,2,103.25956744702
2019,5,3,110.385169229676
2019,6,1,112.758872409824
2019,6,2,113.617438158217
2019,6,3,112.596037883
2019,7,1,108.675891293516
2019,7,2,106.134404586268
2019,7,3,106.669018113053
2019,8,1,114.092473382707
2019,8,2,118.023546850204
2019,8,3,119.210113787637
2019,9,1,117.805193365761
2019,9,2,110.509219208522
2019,9,3,108.13498557257
2019,10,1,106.819456698398
2019,10,2,105.374781279511
2019,10,3,102.928016761428
2019,11,1,102.145944131884
2019,11,2,101.514690058054
2019,11,3,101.274861824741
2019,12,1,101.603501104642
2019,12,2,101.795056147439
2019,12,3,102.081340679081
2020,1,1,N/A,
2020,1,2,102.088928442564
2020,1,3,101.745078929695
2020,2,1,101.821660507847
2020,2,2,101.953476976245
2020,2,3,101.145552306792
2020,3,1,97.636043036911
2020,3,2,96.5519877389753
2020,3,3,96.3816309448158
2020,4,1,97.5377361905926
2020,4,2,102.679042895485
2020,4,3,107.276832172852
2020,5,1,113.21115953693
2020,5,2,119.512638214661
2020,5,3,129.203949020547
2020,6,1,132.429690200243
2020,6,2,133.714719568944
2020,6,3,134.429351892317
2020,7,1,N/A,
2020,7,2,N/A,
2020,7,3,N/A,
2020,8,1,N/A,
2020,8,2,N/A,
2020,8,3,N/A,
2020,9,1,N/A,
2020,9,2,N/A,
2020,9,3,N/A,
2020,10,1,N/A,
2020,10,2,N/A,
2020,10,3,N/A,
2020,11,1,N/A,
2020,11,2,N/A,
2020,11,3,N/A,
2020,12,1,N/A,
2020,12,2,N/A,
2020,12,3,N/A,