"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2015,1,1,85.154,41.862
2015,1,2,26.062,33.754
2015,1,3,20.785,47.369
2015,2,1,22.708,43.431
2015,2,2,79.862,39.923
2015,2,3,39,31.308
2015,3,1,5.831,20.954
2015,3,2,13.077,22.385
2015,3,3,17.446,28.185
2015,4,1,10.369,9.415
2015,4,2,8.492,6.738
2015,4,3,9.785,7.108
2015,5,1,1.431,3.492
2015,5,2,2.062,2.631
2015,5,3,2.969,2.554
2015,6,1,0.077,0.062
2015,6,2,0.015,0
2015,6,3,0.015,0
2015,7,1,0,0
2015,7,2,0,0
2015,7,3,0,0
2015,8,1,0,0
2015,8,2,0,0
2015,8,3,0,0
2015,9,1,0,0
2015,9,2,0,0
2015,9,3,0.323,0.108
2015,10,1,3.708,2.954
2015,10,2,1.892,4.385
2015,10,3,13.262,7.585
2015,11,1,14.8,21.292
2015,11,2,15.154,17.615
2015,11,3,9.385,21.877
2015,12,1,12.877,33.569
2015,12,2,14.215,41.954
2015,12,3,16.015,34.6
2016,1,1,82.923,41.862
2016,1,2,26.831,33.754
2016,1,3,28.277,47.369
2016,2,1,27.185,43.431
2016,2,2,32.246,39.923
2016,2,3,31.523,31.308
2016,3,1,15.923,20.954
2016,3,2,17.4,22.385
2016,3,3,38.108,28.185
2016,4,1,10.569,9.415
2016,4,2,6.215,6.738
2016,4,3,6.246,7.108
2016,5,1,2.4,3.492
2016,5,2,2.169,2.631
2016,5,3,4.246,2.554
2016,6,1,0.077,0.062
2016,6,2,0.015,0
2016,6,3,0,0
2016,7,1,0,0
2016,7,2,0,0
2016,7,3,0,0
2016,8,1,0,0
2016,8,2,0,0
2016,8,3,0,0
2016,9,1,0,0
2016,9,2,0,0
2016,9,3,0.031,0.108
2016,10,1,1.4,2.954
2016,10,2,1.231,4.385
2016,10,3,4.877,7.585
2016,11,1,7.477,21.292
2016,11,2,7.262,17.615
2016,11,3,4.985,21.877
2016,12,1,35.831,33.569
2016,12,2,81.277,41.954
2016,12,3,31.938,34.6
2017,1,1,19.892,41.862
2017,1,2,15.923,33.754
2017,1,3,33.692,47.369
2017,2,1,14,43.431
2017,2,2,41.385,39.923
2017,2,3,13.108,31.308
2017,3,1,30.046,20.954
2017,3,2,30.708,22.385
2017,3,3,9.231,28.185
2017,4,1,5.615,9.415
2017,4,2,6.508,6.738
2017,4,3,2.769,7.108
2017,5,1,1.985,3.492
2017,5,2,1.477,2.631
2017,5,3,2.2,2.554
2017,6,1,0.077,0.062
2017,6,2,0.015,0
2017,6,3,0.015,0
2017,7,1,0,0
2017,7,2,0,0
2017,7,3,0,0
2017,8,1,0,0
2017,8,2,0,0
2017,8,3,0,0
2017,9,1,0,0
2017,9,2,0,0
2017,9,3,0.031,0.108
2017,10,1,2.431,2.954
2017,10,2,2.308,4.385
2017,10,3,5,7.585
2017,11,1,5.692,21.292
2017,11,2,7.138,17.615
2017,11,3,17.431,21.877
2017,12,1,15,33.569
2017,12,2,31.569,41.954
2017,12,3,89.246,34.6