"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.214662,0.217007
2019,1,1,0.2153224,0.217007
2019,1,2,0.2120371,0.2127346
2017,1,2,0.2114231,0.2127346
2018,1,2,0.1996655,0.2127346
2018,1,3,0.1921034,0.2047377
2017,1,3,0.2057217,0.2047377
2019,1,3,0.2065596,0.2047377
2019,2,1,0.2029263,0.2007779
2017,2,1,0.2010612,0.2007779
2018,2,1,0.1890124,0.2007779
2018,2,2,0.1872241,0.1964879
2017,2,2,0.1964767,0.1964879
2019,2,2,0.1977222,0.1964879
2019,2,3,0.1928446,0.1924721
2017,2,3,0.1920533,0.1924721
2018,2,3,0.1865831,0.1924721
2018,3,1,0.1840741,0.1854077
2017,3,1,0.181802,0.1854077
2019,3,1,0.1857919,0.1854077
2019,3,2,0.1820271,0.1825959
2017,3,2,0.1785705,0.1825959
2018,3,2,0.1814977,0.1825959
2018,3,3,0.1783838,0.180299
2017,3,3,0.1759356,0.180299
2019,3,3,0.1791874,0.180299
2019,4,1,0.1771228,0.1784369
2017,4,1,0.1733472,0.1784369
2018,4,1,0.1743696,0.1784369
2018,4,2,0.1686116,0.1761719
2017,4,2,0.1679682,0.1761719
2019,4,2,0.1742404,0.1761719
2019,4,3,0.1730917,0.1754022
2017,4,3,0.1670005,0.1754022
2018,4,3,0.1672233,0.1754022
2018,5,1,0.1660488,0.1747781
2017,5,1,0.1677838,0.1747781
2019,5,1,0.1736084,0.1747781
2019,5,2,0.1754744,0.1744396
2017,5,2,0.1695025,0.1744396
2018,5,2,0.1655711,0.1744396
2018,5,3,0.1676415,0.1745509
2017,5,3,0.1749709,0.1745509
2019,5,3,0.1795211,0.1745509
2019,6,1,0.1842258,0.1758002
2017,6,1,0.180992,0.1758002
2018,6,1,0.1700498,0.1758002
2018,6,2,0.174258,0.1792145
2017,6,2,0.1889191,0.1792145
2019,6,2,0.1922491,0.1792145
2019,6,3,0.2021551,0.185939
2017,6,3,0.1995037,0.185939
2018,6,3,0.1828006,0.185939
2018,7,1,0.2148168,0.2168812
2017,7,1,0.2310024,0.2168812
2019,7,1,0.2348027,0.2168812
2019,7,1,0.2323479,0.2168812
2019,7,2,0.2538442,0.238023
2017,7,2,0.2529666,0.238023
2018,7,2,0.2371083,0.238023
2018,7,3,0.2625938,0.2633957
2017,7,3,0.2779822,0.2633957
2019,7,3,0.2785714,0.2633957
2019,8,1,0.3326299,0.3198483
2017,8,1,0.330315,0.3198483
2018,8,1,0.3163611,0.3198483
2018,8,2,0.3430829,0.3460506
2017,8,2,0.3507875,0.3460506
2019,8,2,0.3580285,0.3460506
2019,8,3,0.3793233,0.3676871
2017,8,3,0.3665587,0.3676871
2018,8,3,0.3661998,0.3676871
2018,9,1,0.3831548,0.3825076
2017,9,1,0.3776564,0.3825076
2019,9,1,0.3948883,0.3825076
2019,9,2,0.3975562,0.3871843
2017,9,2,0.3813845,0.3871843
2018,9,2,0.389451,0.3871843
2018,9,3,0.3800408,0.3775286
2017,9,3,0.3693519,0.3775286
2019,9,3,0.3885279,0.3775286
2019,10,1,0.3767862,0.3620055
2017,10,1,0.3487286,0.3620055
2018,10,1,0.3642444,0.3620055
2018,10,2,0.3428629,0.3428846
2017,10,2,0.3237665,0.3428846
2019,10,2,0.3641773,0.3428846
2019,10,3,0.3325497,0.3020598
2017,10,3,0.2747381,0.3020598
2018,10,3,0.2984412,0.3020598
2018,11,1,0.2797334,0.2836492
2017,11,1,0.2579245,0.2836492
2019,11,1,0.3133504,0.2836492
2019,11,2,0.2949847,0.2676563
2017,11,2,0.2464214,0.2676563
2018,11,2,0.2637615,0.2676563
2018,11,3,0.2418988,0.2449048
2017,11,3,0.2322246,0.2449048
2019,11,3,0.2657496,0.2449048
2019,12,1,0.255451,0.2374638
2017,12,1,0.2269011,0.2374638
2018,12,1,0.2348368,0.2374638
2018,12,2,0.2285708,0.2311938
2017,12,2,0.2219877,0.2311938
2019,12,2,0.2461362,0.2311938
2019,12,3,0.2389113,0.2260916
2017,12,3,0.2172355,0.2260916
2018,12,3,0.2233146,0.2260916