"Year","Month","Dekad","NDVI","Average"
2017,1,1,0.6203323,0.4469631
2018,1,1,0.3395292,0.4469631
2018,1,1,0.3804523,0.4469631
2018,1,2,0.39892,0.4681877
2017,1,2,0.4046231,0.4681877
2019,1,2,0.5399861,0.4681877
2019,1,3,0.5502431,0.50338
2017,1,3,0.43912,0.50338
2018,1,3,0.4539923,0.50338
2018,2,1,0.4854831,0.5199169
2017,2,1,0.4498262,0.5199169
2019,2,1,0.5629046,0.5199169
2019,2,2,0.58038,0.5363523
2017,2,2,0.4639677,0.5363523
2018,2,2,0.5209169,0.5363523
2018,2,3,0.5533369,0.5531523
2017,2,3,0.4851677,0.5531523
2019,2,3,0.5996154,0.5531523
2019,3,1,0.6245554,0.5857738
2017,3,1,0.5444646,0.5857738
2018,3,1,0.5813431,0.5857738
2018,3,2,0.5808923,0.5966846
2017,3,2,0.5800785,0.5966846
2019,3,2,0.6357569,0.5966846
2019,3,3,0.6479308,0.5998369
2017,3,3,0.6097815,0.5998369
2018,3,3,0.5704292,0.5998369
2018,4,1,0.5512508,0.5932077
2017,4,1,0.6229246,0.5932077
2019,4,1,0.6555861,0.5932077
2019,4,2,0.6308631,0.5464
2017,4,2,0.5793231,0.5464
2018,4,2,0.4871461,0.5464
2018,4,3,0.4452646,0.5077338
2017,4,3,0.5254323,0.5077338
2019,4,3,0.60704,0.5077338
2019,5,1,0.5764754,0.4625785
2017,5,1,0.4627446,0.4625785
2018,5,1,0.4043354,0.4625785
2018,5,2,0.36742,0.4146677
2017,5,2,0.39962,0.4146677
2019,5,2,0.5340708,0.4146677
2019,5,3,0.4125662,0.3306308
2017,5,3,0.3101461,0.3306308
2018,5,3,0.3114077,0.3306308
2018,6,1,0.2919477,0.3005292
2017,6,1,0.2883308,0.3005292
2019,6,1,0.3622831,0.3005292
2019,6,2,0.3287877,0.2794277
2017,6,2,0.2754554,0.2794277
2018,6,2,0.2785938,0.2794277
2018,6,3,0.27022,0.2660754
2017,6,3,0.26758,0.2660754
2019,6,3,0.3095231,0.2660754
2019,7,1,0.2857646,0.2549415
2019,7,1,0.2860831,0.2549415
2017,7,1,0.2551877,0.2549415
2018,7,1,0.2553677,0.2549415
2018,7,2,0.2499908,0.25128
2017,7,2,0.2506354,0.25128
2019,7,2,0.2791138,0.25128
2019,7,3,0.2753523,0.2483369
2017,7,3,0.2473938,0.2483369
2018,7,3,0.2459323,0.2483369
2018,8,1,0.2420031,0.2446231
2017,8,1,0.2441231,0.2446231
2019,8,1,0.2718985,0.2446231
2019,8,2,0.2696215,0.2437646
2017,8,2,0.2429631,0.2437646
2018,8,2,0.2406554,0.2437646
2018,8,3,0.2393492,0.2428338
2017,8,3,0.2421569,0.2428338
2019,8,3,0.2678385,0.2428338
2019,9,1,0.2685461,0.2416077
2017,9,1,0.2417215,0.2416077
2018,9,1,0.2381754,0.2416077
2018,9,2,0.2355308,0.23924
2017,9,2,0.2395539,0.23924
2019,9,2,0.2709954,0.23924
2019,9,3,0.2710739,0.2386354
2017,9,3,0.2382108,0.2386354
2018,9,3,0.2338662,0.2386354
2018,10,1,0.2306015,0.2391846
2017,10,1,0.2390246,0.2391846
2019,10,1,0.2703323,0.2391846
2019,10,2,0.26982,0.2411477
2017,10,2,0.2422831,0.2411477
2018,10,2,0.2287169,0.2411477
2018,10,3,0.2358492,0.2516969
2017,10,3,0.2454077,0.2516969
2019,10,3,0.2754185,0.2516969
2019,11,1,0.2792815,0.2632123
2017,11,1,0.2436862,0.2632123
2018,11,1,0.2482708,0.2632123
2018,11,2,0.2697754,0.2797446
2017,11,2,0.2423877,0.2797446
2019,11,2,0.2824246,0.2797446
2019,11,3,0.29932,0.3248985
2017,11,3,0.2544692,0.3248985
2018,11,3,0.3557431,0.3248985
2018,12,1,0.4141969,0.3500631
2017,12,1,0.2706985,0.3500631
2019,12,1,0.3187569,0.3500631
2019,12,2,0.34426,0.3749354
2017,12,2,0.2908539,0.3749354
2018,12,2,0.4686984,0.3749354
2018,12,3,0.5059,0.3999923
2017,12,3,0.3173492,0.3999923
2019,12,3,0.36992,0.3999923