"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2019,1,1,0.071,0
2019,1,2,0,0
2019,1,3,0.214,0.071
2019,2,1,0.929,0
2019,2,2,1,0
2019,2,3,2.571,0
2019,3,1,2.214,2
2019,3,2,2.786,2.143
2019,3,3,3.143,5.786
2019,4,1,14.5,9.357
2019,4,2,20.071,13.714
2019,4,3,4.857,12.929
2019,5,1,2.286,4.786
2019,5,2,10.214,4
2019,5,3,16.286,3.5
2019,6,1,0.286,0
2019,6,2,0,0
2019,6,3,1,1
2019,7,1,5.786,8
2019,7,2,4.214,12.286
2019,7,3,7.857,13.5
2019,8,1,16.286,25.071
2019,8,2,4.786,21.643
2019,8,3,8.143,18.429
2019,9,1,3.429,2.857
2019,9,2,3.571,0.929
2019,9,3,1.571,0
2019,10,1,0,0
2019,10,2,0,0
2019,10,3,0,0
2019,11,1,1,1
2019,11,2,1.143,1.714
2019,11,3,1.786,1
2019,12,1,0.929,0.643
2019,12,2,1,0.071
2019,12,3,1,0.143
2020,1,1,0.286,0
2020,1,2,0.286,0
2020,1,3,1,0.071
2020,2,1,0.929,0
2020,2,2,1,0
2020,2,3,0.786,0
2020,3,1,1.929,2
2020,3,2,1.929,2.143
2020,3,3,4.071,5.786
2020,4,1,10.286,9.357
2020,4,2,25.571,13.714
2020,4,3,,12.929
2020,5,1,,4.786
2020,5,2,,4
2020,5,3,,3.5
2020,6,1,,0
2020,6,2,,0
2020,6,3,,1
2020,7,1,,8
2020,7,2,,12.286
2020,7,3,,13.5
2020,8,1,,25.071
2020,8,2,,21.643
2020,8,3,,18.429
2020,9,1,,2.857
2020,9,2,,0.929
2020,9,3,,0
2020,10,1,,0
2020,10,2,,0
2020,10,3,,0
2020,11,1,,1
2020,11,2,,1.714
2020,11,3,,1
2020,12,1,,0.643
2020,12,2,,0.071
2020,12,3,,0.143